,Bhattacharyya,Borderline,C1,C2,CM,Clust,D3,DBC,F1,F1v,F2,F3,F4,ICSV,IN,IR,LSCAvg,MRCA,N1,N2,N3,N4,NSG,NeighbourhoodSeparability,ONB,Purity,Raug,SI,SVM_SVR,Silhouette,T1,TwoNN_ID,Wasserstein,deg_overlap,kDN
Bhattacharyya,1,0.83218805302517906,0.87084023382251563,0.7558112737813415,0.91774521619868832,0.7188698198286001,0.83120878181329116,0.36721530047066836,0.050118323419242314,-0.28724093746419077,0.93642666598635627,0.9863505369413349,0.99215044777030692,0.059959147788735769,0.98294968620030065,-0.933797607476613,0.89214834795366227,0.43268718072609236,0.72090318332659165,0.92166887065692049,0.96605247389896964,0.95984360626510612,-0.76570144145522645,-0.76598474623611668,-0.15424011441227864,0.64901400001005771,-0.9305592408680734,-0.96605247389896953,0.67115135608771737,0.73054245970872522,0.64814764020226634,0.24176911288841482,-0.4934476813810022,0.73769944529894982,0.78674746901415327
Borderline,0.83218805302517906,1,0.96774751788763391,0.86258777258808483,0.98734970281735357,0.85792680888852024,0.96111475445189876,0.50371910665887298,-0.11949388061329443,-0.24443683557649426,0.84335435250837076,0.92372180998955189,0.91695620098433706,0.26065113216967173,0.86274135190277268,-0.7156133505318133,0.66590233095829698,0.52199275592501293,0.85984329629144463,0.8406968912531696,0.95779491361871505,0.94935433606043551,-0.80764145494093031,-0.69283263324340871,0.001116352240983587,0.58722430650849589,-0.9660844050198425,-0.95779491361871472,0.80064372846293241,0.50992606559081188,0.7512506258798447,0.25675872531007365,-0.26021250419617725,0.83207698659176099,0.93089698034453183
C1,0.87084023382251563,0.96774751788763391,1,0.93350246344158427,0.97938821714626645,0.91610556016889144,0.91048051722963741,0.48064701818958239,-0.052986572247522012,-0.18007715301907784,0.91780162120130482,0.95791902940999452,0.96641785969152261,0.28676524594445224,0.89697117985397168,-0.73800897985708613,0.6846078876027557,0.57483304791443435,0.91645916445588893,0.91306107499019062,0.9987972860854879,0.99548757888508588,-0.89058058965843867,-0.63987271170037308,0.023415442677397057,0.57315453313104658,-0.98361193390006418,-0.99879728608548779,0.8823516445902605,0.52578960731180813,0.80735798685630988,0.14484210888075097,-0.27196694893143747,0.91821288942621015,0.9752120793242991
C2,0.7558112737813415,0.86258777258808483,0.93350246344158427,1,0.96300013364497505,0.99108126169637034,0.8783080466698675,0.47366695615479393,-0.14018142736592679,-0.12628740326434135,0.92508307392015499,0.94110112234365817,0.9564122104893451,0.33315988380510869,0.76549371553378198,-0.61879880276564014,0.59524782356480088,0.56688240805574708,0.99075601757700382,0.86271519092110416,0.99650596431650362,0.99478878548535776,-0.96374619913375614,-0.53689688576059136,0.15215675672652537,0.51955700903196622,-0.97304875751612507,-0.99650596431650362,0.98066518248655543,0.46083203511385085,0.83422899754351598,0.012358367349832667,-0.16515032443219849,0.98609905820999977,0.98157206728851398
CM,0.91774521619868832,0.98734970281735357,0.97938821714626645,0.96300013364497505,1,0.97758240223412685,0.96629178681814554,0.47781892361638062,-0.32785135301184393,-0.48347785325712556,0.84870646619576506,0.9275425198847923,0.92123072467534617,0.18926151109907258,0.90476673914437789,-0.89751997938868699,0.91862607989365808,0.43600375556450233,0.9782425318691601,0.89352339867144726,0.97384855937988901,0.97295394397927704,-0.89917223461228202,-0.97669474505023102,-0.010725628071331095,0.82480379260250536,-0.97651885903315971,-0.97384855937988868,0.94189327973210213,0.77520894640928228,0.80136100359884288,0.38520143530943041,-0.3502635031968182,0.9206089393039607,0.97696782008518979
Clust,0.7188698198286001,0.85792680888852024,0.91610556016889144,0.99108126169637034,0.97758240223412685,1,0.90895597504403747,0.4758274128940771,-0.20303921945489689,-0.15365492253267773,0.92135642873370815,0.95492945235922355,0.96517832921783409,0.33827864235809291,0.73123508944471338,-0.59455572723818939,0.5812033523076916,0.54783968331946531,0.9995365632294646,0.8060138497154149,0.99888572479511639,0.9949603136830889,-0.96368646599485897,-0.55398090606975003,0.16527707771714786,0.49038740076506276,-0.98358993363481761,-0.99888572479511639,0.98367400114061654,0.47893251512735613,0.83816679297182495,0.05804321083930488,-0.14315186267817798,0.98171224830847659,0.97623855543749016
D3,0.83120878181329116,0.96111475445189876,0.91048051722963741,0.8783080466698675,0.96629178681814554,0.90895597504403747,1,0.46382174139966786,-0.4150215866259267,-0.52521458144209388,0.74106761594439763,0.86678069247332612,0.84781745064610248,0.279108159448196,0.82381574247702893,-0.81700971960661417,0.83702881874148916,0.3857343989487606,0.90726067985730463,0.78257751215685079,0.90195997602169709,0.90253259934124364,-0.80543084126689535,-0.98984956562889215,-0.053996105338530859,0.86813339881761842,-0.94551913699028134,-0.90195997602169675,0.86705854718372821,0.70964456014811073,0.74461743578044359,0.52943614511590531,-0.24550450514842015,0.82542264352280525,0.90615406887649019
DBC,0.36721530047066836,0.50371910665887298,0.48064701818958239,0.47366695615479393,0.47781892361638062,0.4758274128940771,0.46382174139966786,1,0.080427028793398428,-0.048786785035344366,0.41106821139285887,0.37828910260636434,0.39836738727648319,-0.0085005579228804584,0.38083334936125801,-0.37008966105638652,0.36330885149516812,-0.14193859060177608,0.47787508814964835,0.42980594232266872,0.48691474123443673,0.47841805946206667,-0.37147594545700197,-0.46381081050520467,-0.090218561142573678,0.43164395431489511,-0.52842065542391203,-0.48691474123443662,0.49331781065568814,0.22864817575035085,0.3346579255893305,0.14127565729444658,-0.36328752657714741,0.43470460584070247,0.4744051098274466
F1,0.050118323419242314,-0.11949388061329443,-0.052986572247522012,-0.14018142736592679,-0.32785135301184393,-0.20303921945489689,-0.4150215866259267,0.080427028793398428,1,0.7768800126330706,0.029934836956675093,-0.2185174528807769,-0.15997044310629774,-0.34183758138179821,0.098329258423806937,-0.015707851584332744,-0.090294615244987192,0.10835841606613721,-0.20593064702100125,0.082416916581103283,-0.21586356871598694,-0.25077461699326237,0.097790668164169633,0.27553142105261036,0.15787016207938961,-0.23207120355141275,0.27540058919880062,0.21586356871598639,-0.185030714059291,-0.18569585423320928,-0.12586085775711228,-0.094761431245235755,-0.46038228081271326,-0.11771885594985534,-0.12500977533240662
F1v,-0.28724093746419077,-0.24443683557649426,-0.18007715301907784,-0.12628740326434135,-0.48347785325712556,-0.15365492253267773,-0.52521458144209388,-0.048786785035344366,0.7768800126330706,1,-0.21619987798083501,-0.40101145798083682,-0.36926134806658173,-0.26448590580679887,-0.23701242515191367,0.39685126418096095,-0.47822276667213287,0.21721947078597834,-0.15453860348028656,-0.16352457119992064,-0.41449521407989809,-0.42878691540042396,0.0845625653633056,0.57848804193699832,0.52255580260942669,-0.50587069998002154,0.45725939662818038,0.41449521407989764,-0.12932391026972423,-0.50016415047922769,-0.096354946213585396,-0.17445404336927403,-0.086455959173356023,-0.098165501187010507,-0.14917437665403604
