,Bhattacharyya,Borderline,C1,C2,CM,Clust,D3,DBC,F1,F1v,F2,F3,F4,ICSV,IN,IR,LSCAvg,MRCA,N1,N2,N3,N4,NSG,NeighbourhoodSeparability,ONB,Purity,Raug,SI,SVM_SVR,Silhouette,T1,TwoNN_ID,Wasserstein,deg_overlap,kDN
Bhattacharyya,1,0.86104848667080436,0.92477537580966751,0.95453095989125425,0.91357970579351866,0.93480910412378138,0.84900642608057619,0.97306425051731726,0.97650666293161148,0.96823211994289227,0.97883792177100815,0.98996691331391551,0.97605162809417156,0.90881372842188601,0.99354914347117251,0.63289685429838571,0.97636327619605567,0.96975151955142957,0.93107599015079479,0.97542853307958377,0.95721914582874656,0.94645112234372542,0.85272605372515642,0.94273399937632152,0.88653217543548712,0.96753095299185199,0.89580038412009211,0.95034015178459197,0.93596557788624235,0.63226146249736082,0.97329398410719392,0.97325403790884679,0.92894371381853968,0.91935561720945835,0.91501586210650365
Borderline,0.86104848667080436,1,0.98056647263322549,0.90637290823431793,0.99632180192876074,0.91947035440338143,0.981889633594898,0.81317127610682527,0.80920853079870514,0.79467722616435688,0.947931286270152,0.9185733935281204,0.93036135994188407,0.82109581205987658,0.88821392678475619,0.36110164442944159,0.798782243208364,0.85928087841664547,0.92196173144461047,0.88346826602280226,0.97958133234950329,0.97987333143168087,0.5485530166532161,0.72977421181477697,0.76788593355349877,0.85655702154768476,0.63805131414090355,0.73185408791952133,0.91343602363773768,0.6616663420116824,0.81421915131760225,0.81482683119213983,0.74274392476249407,0.92035125003282159,0.95886025312394785
C1,0.92477537580966751,0.98056647263322549,1,0.95206150820164015,0.98990013463822057,0.95956451831040701,0.95188284632196385,0.89279329269457253,0.89099016759409921,0.88011479302122075,0.98862819888883835,0.97352349527662596,0.97911663456405784,0.88150904617138504,0.94486763042560684,0.48781163600937416,0.86773106401630162,0.9305585777529668,0.95974943235881438,0.9415983983013323,0.99983680409074882,0.99824376080046695,0.65678047329934452,0.83257034209336245,0.85595217172393645,0.9131976594742689,0.74546447318476283,0.83077343721554553,0.954929234761553,0.66950314068434291,0.89471317934416084,0.89217329497773767,0.83845316855086982,0.96904508932267519,0.98814537065124985
C2,0.95453095989125425,0.90637290823431793,0.95206150820164015,1,0.9765120797057677,0.99549790113422554,0.92750020216702089,0.96584074590610247,0.96125415365249012,0.95521452260305595,0.99478378580862414,0.9804484448052736,0.97849053301039501,0.92563916495306642,0.95680513018043756,0.58838268167385421,0.94701698884173235,0.97083977294640245,0.99460015152985137,0.99458140917502402,0.9956170829172345,0.98937649834076313,0.77234390667983066,0.91121679964099589,0.92436198544073866,0.97720707118015948,0.80588753079974929,0.91348186495781114,0.99729949071617052,0.7127440055129266,0.96572288817426999,0.96667613541254571,0.91462011226307305,0.97839379002946036,0.97322660655555882
CM,0.91357970579351866,0.99632180192876074,0.98990013463822057,0.9765120797057677,1,0.987609638125033,0.98188930004017583,0.88556230484448273,0.87429618073756099,0.8603215235764905,0.96228273441285406,0.93957752723953292,0.94884912841340774,0.86342653053958318,0.92780627099042867,0.3809263141633501,0.90699215731669192,0.89838386963053996,0.98949241776712393,0.95198005306370637,0.98890395726173863,0.98992465771026106,0.59663479067674585,0.77959500542606841,0.86378034889416966,0.94216270821326342,0.67430828090320294,0.79192014629592511,0.98352028798985547,0.66321280471909572,0.88363078288782959,0.88861575577667373,0.801089636412877,0.97195936339329358,0.98918644839325687
Clust,0.93480910412378138,0.91947035440338143,0.95956451831040701,0.99549790113422554,0.987609638125033,1,0.94860933945483594,0.946648728678259,0.93955274805737776,0.93194664996215903,0.99028328476540772,0.97747345394847795,0.98251206706815564,0.91671199304547313,0.9451661785667369,0.5467830297529771,0.92575476805901824,0.95441545482955059,0.99981953112966759,0.98414149650036431,0.99965301183325495,0.99791727057221813,0.72402367619006247,0.88352657366536747,0.91023201603977277,0.965219114691374,0.75408039027845231,0.8869319440162805,0.9969951286426868,0.71287616987599622,0.94648860171668725,0.94625133639577041,0.89328724247668845,0.98489269911252575,0.9822963181168991
D3,0.84900642608057619,0.981889633594898,0.95188284632196385,0.92750020216702089,0.98188930004017583,0.94860933945483594,1,0.81735548602738572,0.80125595662023386,0.78318412526895353,0.90525096815108774,0.88969162893300835,0.90382655538253764,0.83026670030955052,0.87103404842861132,0.28887874592521923,0.84506493933059201,0.8285100744967886,0.95129301375962139,0.8924458525969281,0.94970581110834629,0.95538168303062476,0.51146167233509021,0.69010299836682665,0.7858934380585294,0.90364608718559991,0.57338986486380406,0.71359878161401757,0.94069094298097589,0.63382732295055977,0.81462212194403572,0.82258767770609431,0.72808880612678917,0.92143293737702414,0.94970023443412299
DBC,0.97306425051731726,0.81317127610682527,0.89279329269457253,0.96584074590610247,0.88556230484448273,0.946648728678259,0.81735548602738572,1,0.99894746692648417,0.9972042224672375,0.96232128091062419,0.97954176328090115,0.9608022816534828,0.93479154269863396,0.96485033592040315,0.73766117242516471,0.97802443381711579,0.98834875428985636,0.94194225677512589,0.98352457874217158,0.9346923836611678,0.92181074006584529,0.90266158336339453,0.98247554554941208,0.95150320802768373,0.97894867926739659,0.91978363474441494,0.98641755766396988,0.95235379446498902,0.62551064557818203,0.99971095721946202,0.99921390286334921,0.97519928640398523,0.93549321342965608,0.91378289669796242
F1,0.97650666293161148,0.80920853079870514,0.89099016759409921,0.96125415365249012,0.87429618073756099,0.93955274805737776,0.80125595662023386,0.99894746692648417,1,0.99869036707774583,0.95878050289302397,0.97322597181762349,0.9530484118239827,0.93175370542783931,0.96648272382966061,0.74382182165784261,0.97657911384049034,0.98996512604534392,0.93453898080490738,0.98122343093099684,0.92662451423265624,0.91196539489639905,0.90912748998274684,0.98579057567304851,0.94974928335486375,0.97537015502158675,0.93137320517130517,0.98796161337622956,0.94652622673949627,0.62407532572974789,0.99912448057297232,0.99854110213638414,0.97483704505014368,0.93032781688308541,0.90886494391675987
F1v,0.96823211994289227,0.79467722616435688,0.88011479302122075,0.95521452260305595,0.8603215235764905,0.93194664996215903,0.78318412526895353,0.9972042224672375,0.99869036707774583,1,0.95169043438259138,0.96417115099852047,0.9412859221578187,0.92314762436918163,0.9555043927053154,0.76483229666586949,0.96848642079742842,0.98868016089498334,0.926713889122604,0.9753521731789998,0.91498401478338631,0.89897253629895069,0.91557823112597991,0.98921568872153975,0.95803155777381055,0.96868238215898561,0.94443501237535032,0.98824063830953968,0.94072099704850343,0.61969181330347767,0.99748502187712274,0.99719649096537355,0.97372557162695195,0.92561174034263127,0.90163987224500308
