,Bhattacharyya,Borderline,C1,C2,CM,Clust,D3,DBC,F1,F1v,F2,F3,F4,ICSV,IN,IR,LSCAvg,MRCA,N1,N2,N3,N4,NSG,NeighbourhoodSeparability,ONB,Purity,Raug,SI,SVM_SVR,Silhouette,T1,TwoNN_ID,Wasserstein,deg_overlap,kDN
Bhattacharyya,1,0.9341640786499873,0.87999999999999989,0.79999999999999993,0.97499999999999987,0.73999999999999988,0.97499999999999987,0.52499999999999991,-0.039999999999999994,-0.27999999999999992,0.92499999999999982,0.97499999999999987,0.97499999999999987,0.099999999999999978,0.95999999999999974,-0.79999999999999993,0.79999999999999993,0.43999999999999995,0.7599999999999999,0.85999999999999999,0.97499999999999987,0.97499999999999987,-0.73999999999999988,-0.79999999999999993,-0.019999999999999997,0.83999999999999986,-0.97499999999999987,-0.97499999999999987,0.69999999999999996,0.51999999999999991,0.6399999999999999,0.35999999999999999,-0.31999999999999995,0.69999999999999996,0.87999999999999989
Borderline,0.9341640786499873,1,0.95888543819998306,0.87416407864998735,0.97499999999999987,0.82708203932499358,0.97499999999999987,0.52499999999999991,-0.1058359213500126,-0.20583592135001258,0.92499999999999982,0.97499999999999987,0.97499999999999987,0.17416407864998734,0.95888543819998306,-0.71291796067500623,0.71291796067500623,0.51888543819998323,0.8470820393249936,0.87652475842498523,0.97499999999999987,0.97499999999999987,-0.82708203932499358,-0.71291796067500623,0.067082039324993681,0.737639320225002,-0.97499999999999987,-0.97499999999999987,0.78708203932499354,0.4458359213500126,0.71416407864998732,0.25527864045000415,-0.23291796067500625,0.78708203932499354,0.95888543819998306
C1,0.87999999999999989,0.95888543819998306,1,0.95999999999999974,0.94999999999999984,0.91999999999999993,0.94999999999999984,0.47499999999999998,-0.10000000000000001,-0.14000000000000001,0.94999999999999984,0.94999999999999984,0.94999999999999984,0.19999999999999993,0.8999999999999998,-0.61999999999999988,0.61999999999999988,0.55999999999999994,0.93999999999999984,0.85999999999999999,0.99999999999999989,0.99999999999999989,-0.91999999999999993,-0.61999999999999988,0.16,0.71999999999999997,-0.94999999999999984,-0.99999999999999989,0.8999999999999998,0.37999999999999995,0.77999999999999992,0.11999999999999997,-0.13999999999999996,0.8999999999999998,0.99999999999999978
C2,0.79999999999999993,0.87416407864998735,0.95999999999999974,1,0.89999999999999991,0.93999999999999984,0.89999999999999991,0.44999999999999996,-0.079999999999999988,-0.080000000000000002,0.92499999999999982,0.89999999999999991,0.89999999999999991,0.23999999999999994,0.79999999999999993,-0.53999999999999992,0.53999999999999992,0.57999999999999985,0.95999999999999974,0.81999999999999995,0.97499999999999987,0.97499999999999987,-0.93999999999999984,-0.53999999999999992,0.23999999999999994,0.6399999999999999,-0.89999999999999991,-0.97499999999999987,0.95999999999999974,0.31999999999999995,0.77999999999999992,0.019999999999999973,-0.060000000000000012,0.95999999999999974,0.95999999999999974
CM,0.97499999999999987,0.97499999999999987,0.94999999999999984,0.89999999999999991,1,0.97499999999999987,0.99999999999999989,0.44999999999999996,-0.32499999999999996,-0.4499999999999999,0.87499999999999989,0.99999999999999989,0.99999999999999989,0.12499999999999997,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.47499999999999992,0.94999999999999984,0.87499999999999989,0.94999999999999984,0.94999999999999984,-0.97499999999999987,-0.99999999999999989,-0.025000000000000022,0.97499999999999987,-0.99999999999999989,-0.94999999999999984,0.92499999999999993,0.74999999999999989,0.77499999999999991,0.42499999999999993,-0.32499999999999996,0.92499999999999993,0.94999999999999984
Clust,0.73999999999999988,0.82708203932499358,0.91999999999999993,0.93999999999999984,0.97499999999999987,1,0.97499999999999987,0.39999999999999997,-0.23999999999999994,-0.15999999999999998,0.89999999999999991,0.97499999999999987,0.97499999999999987,0.2599999999999999,0.77999999999999992,-0.57999999999999985,0.57999999999999985,0.53999999999999981,0.97999999999999987,0.69999999999999996,0.97499999999999987,0.97499999999999987,-0.99999999999999978,-0.57999999999999985,0.19999999999999998,0.65999999999999992,-0.97499999999999987,-0.97499999999999987,0.97999999999999987,0.39999999999999997,0.81999999999999995,0.10000000000000001,-0.039999999999999966,0.97999999999999987,0.91999999999999993
D3,0.97499999999999987,0.97499999999999987,0.94999999999999984,0.89999999999999991,0.99999999999999989,0.97499999999999987,1,0.44999999999999996,-0.32499999999999996,-0.4499999999999999,0.87499999999999989,0.99999999999999989,0.99999999999999989,0.12499999999999997,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.47499999999999992,0.94999999999999984,0.87499999999999989,0.94999999999999984,0.94999999999999984,-0.97499999999999987,-0.99999999999999989,-0.025000000000000022,0.97499999999999987,-0.99999999999999989,-0.94999999999999984,0.92499999999999993,0.74999999999999989,0.77499999999999991,0.42499999999999993,-0.32499999999999996,0.92499999999999993,0.94999999999999984
DBC,0.52499999999999991,0.52499999999999991,0.47499999999999998,0.44999999999999996,0.44999999999999996,0.39999999999999997,0.44999999999999996,1,0.17499999999999993,0.049999999999999961,0.375,0.44999999999999996,0.44999999999999996,-0.074999999999999983,0.44999999999999996,-0.44999999999999996,0.44999999999999996,-0.12499999999999997,0.47499999999999998,0.47499999999999998,0.47499999999999998,0.47499999999999998,-0.39999999999999997,-0.44999999999999996,-0.024999999999999967,0.39999999999999997,-0.44999999999999996,-0.47499999999999998,0.375,0.17499999999999993,0.24999999999999997,0.29999999999999999,-0.44999999999999996,0.375,0.47499999999999998
F1,-0.039999999999999994,-0.1058359213500126,-0.10000000000000001,-0.079999999999999988,-0.32499999999999996,-0.23999999999999994,-0.32499999999999996,0.17499999999999993,1,0.79999999999999993,-0.17500000000000002,-0.32499999999999996,-0.32499999999999996,-0.19999999999999993,-0.079999999999999988,0.23999999999999994,-0.23999999999999994,0.060000000000000032,-0.22000000000000003,0.019999999999999997,-0.24999999999999997,-0.24999999999999997,0.23999999999999994,0.23999999999999994,0.25999999999999995,-0.13999999999999996,0.32499999999999996,0.24999999999999997,-0.17999999999999997,-0.47999999999999987,-0.09999999999999995,-0.080000000000000029,-0.33999999999999991,-0.17999999999999997,-0.10000000000000001
F1v,-0.27999999999999992,-0.20583592135001258,-0.14000000000000001,-0.080000000000000002,-0.4499999999999999,-0.15999999999999998,-0.4499999999999999,0.049999999999999961,0.79999999999999993,1,-0.32500000000000001,-0.4499999999999999,-0.4499999999999999,-0.13999999999999996,-0.27999999999999992,0.53999999999999981,-0.53999999999999981,0.19999999999999998,-0.14000000000000001,-0.22000000000000003,-0.39999999999999997,-0.39999999999999997,0.15999999999999998,0.53999999999999981,0.55999999999999983,-0.45999999999999996,0.4499999999999999,0.39999999999999997,-0.12,-0.71999999999999986,-0.079999999999999988,-0.18000000000000002,-0.039999999999999994,-0.12,-0.14000000000000001
F2,0.92499999999999982,0.92499999999999982,0.94999999999999984,0.92499999999999982,0.87499999999999989,0.89999999999999991,0.87499999999999989,0.375,-0.17500000000000002,-0.32500000000000001,1,0.87499999999999989,0.87499999999999989,-0.099999999999999992,0.87499999999999989,-0.87499999999999989,0.87499999999999989,0.39999999999999991,0.94999999999999984,0.87499999999999989,0.94999999999999984,0.94999999999999984,-0.89999999999999991,-0.87499999999999989,0.10000000000000001,0.89999999999999991,-0.87499999999999989,-0.94999999999999984,0.87499999999999989,0.62499999999999989,0.74999999999999989,0.099999999999999978,-0.39999999999999991,0.87499999999999989,0.94999999999999984
F3,0.97499999999999987,0.97499999999999987,0.94999999999999984,0.89999999999999991,0.99999999999999989,0.97499999999999987,0.99999999999999989,0.44999999999999996,-0.32499999999999996,-0.4499999999999999,0.87499999999999989,1,0.99999999999999989,0.12499999999999997,0.99999999999999989,-0.99999999999999989,0.99999999999999989,0.47499999999999992,0.94999999999999984,0.87499999999999989,0.94999999999999984,0.94999999999999984,-0.97499999999999987,-0.99999999999999989,-0.025000000000000022,0.97499999999999987,-0.99999999999999989,-0.94999999999999984,0.92499999999999993,0.74999999999999989,0.77499999999999991,0.42499999999999993,-0.32499999999999996,0.92499999999999993,0.94999999999999984
