param_value,param_label,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR,F1_std,F1v_std,F2_std,F3_std,F4_std,N3_std,N4_std,kDN_std,CM_std,R_std,D3_std,D. Over._std,Borderline_std,N1_std,N2_std,ONB_std,LSC_std,Clust_std,IR_std
1,imbalance=1x (Oversampled),0.6480189010415174,0.30254750500806427,0.4218884388594356,0.889,0.8219999999999998,0.333,0.273,0.3229999999999999,0.281,0.281,28.1,0.6980000000000001,0.323,0.462,0.35415684963310906,0.379,0.97342,0.382,1.0,0.03360893556922626,0.03435642142054894,0.08557784751997571,0.01200000000000001,0.018330302779823344,0.04760252094164762,0.051244511901275824,0.02358813260942886,0.028354893757515647,0.028354893757515647,2.835489375751565,0.03501428280002317,0.019131126469708996,0.045672748986676955,0.026822347691269868,0.03800000000000002,0.00404476204491688,0.038288379438153296,0.0
2,imbalance=2x (Oversampled),0.6733545637972703,0.32908641066268784,0.45445740498333576,0.873,0.8009999999999999,0.17,0.278,0.3111999999999999,0.276,0.27599999999999997,27.6,0.6619999999999999,0.32599999999999996,0.46900000000000003,0.24497422579947692,0.28300000000000003,0.970595,0.28500000000000003,1.0,0.04034313772237206,0.03666678035754857,0.04987247193735457,0.019646882704388517,0.030724582991474417,0.03619392214170771,0.0267581763205193,0.032245309736456215,0.046303347611160915,0.046303347611160894,4.6303347611160905,0.05818934610390462,0.04042276586281547,0.05808614292583044,0.020286623281570763,0.030757112998459395,0.0028262784717716684,0.029495762407505254,0.0
4,imbalance=4x (Oversampled),0.6922768941009221,0.35883197897527147,0.43414132486561696,0.8320000000000001,0.745,0.092,0.303,0.23700000000000002,0.207,0.207,20.7,0.48600000000000004,0.22199999999999998,0.473,0.19792847973698532,0.192,0.95943,0.192,1.0,0.06007855480316442,0.05693976326488208,0.06365103452979183,0.03867815921162743,0.06730527468185535,0.02039607805437114,0.03776241517699841,0.022144976857066255,0.03385262175962152,0.033852621759621504,3.385262175962151,0.03679673898594821,0.011661903789690599,0.04249705872175157,0.016185401049125744,0.01805547008526779,0.0054002175882088286,0.0196468827043885,0.0
8,imbalance=8x (Oversampled),0.6946875360439357,0.37026140999428214,0.39377849128889875,0.7979999999999999,0.6869999999999999,0.051000000000000004,0.33,0.12240000000000002,0.12,0.12,12.0,0.188,0.071,0.488,0.1614499261371418,0.11600000000000002,0.92516,0.119,1.0,0.07250257232649897,0.06628212756682002,0.1172571532761641,0.05697367813297647,0.12073110618229256,0.014628738838327795,0.023021728866442673,0.026582701141908072,0.033466401061363026,0.033466401061363026,3.3466401061363023,0.03108054053584011,0.032465366161495854,0.06477653896280658,0.025104882541475786,0.02437211521390788,0.017373029384652544,0.02107130750570548,0.0
16,imbalance=16x (Oversampled),0.7088161011224894,0.36777342131692875,0.19626588573970188,0.71,0.591,0.027000000000000003,0.292,0.0698,0.069,0.069,6.9,0.10600000000000001,0.045,0.506,0.1416512367711913,0.065,0.8923749999999998,0.067,1.0,0.02785090766024736,0.05336696285449119,0.09526831779382391,0.06862943974709394,0.09619771307052992,0.0074833147735478825,0.026944387170614956,0.010552724766618338,0.011575836902790229,0.011575836902790229,1.1575836902790224,0.014966629547095761,0.013784048752090222,0.04259107887809373,0.014790761143969443,0.008366600265340756,0.011630950090168927,0.009273618495495703,0.0
