param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,LogisticRegression_precision,LogisticRegression_precision_std,LogisticRegression_recall,LogisticRegression_recall_std,LogisticRegression_balanced_accuracy,LogisticRegression_balanced_accuracy_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-RBF_precision,SVM-RBF_precision_std,SVM-RBF_recall,SVM-RBF_recall_std,SVM-RBF_balanced_accuracy,SVM-RBF_balanced_accuracy_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,SVM-LINEAR_precision,SVM-LINEAR_precision_std,SVM-LINEAR_recall,SVM-LINEAR_recall_std,SVM-LINEAR_balanced_accuracy,SVM-LINEAR_balanced_accuracy_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,RandomForest_precision,RandomForest_precision_std,RandomForest_recall,RandomForest_recall_std,RandomForest_balanced_accuracy,RandomForest_balanced_accuracy_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-5_precision,KNN-5_precision_std,KNN-5_recall,KNN-5_recall_std,KNN-5_balanced_accuracy,KNN-5_balanced_accuracy_std
"RandomDuplicate(factor=1, seed=True)",0.95,0.8853333333333333,0.8223410576351753,0.4660924343992533,1.0,0.7896161616161615,0.7,0.348,0.85,0.6703999999999999,0.8683333333333334,0.00816496580927726,0.4278095238095238,0.06746837673614528,0.7699999999999999,0.024494897427831803,0.3,0.0632455532033676,0.641,0.030066592756745808,0.8766666666666667,0.013333333333333365,0.4349716082129875,0.08670463972390295,0.9044444444444444,0.08302907418786401,0.29000000000000004,0.07348469228349534,0.642,0.037094473981982845,0.8450000000000001,0.01452966314513556,0.11884057971014492,0.14734220321320388,0.4,0.48989794855663565,0.06999999999999999,0.08717797887081348,0.5349999999999999,0.04358898943540671,0.95,0.009128709291752777,0.8223410576351753,0.036896434215710094,1.0,0.0,0.7,0.05477225575051662,0.85,0.02738612787525833,0.8866666666666667,0.011303883305208786,0.5264994026284349,0.054130728081391126,0.8736363636363637,0.1055642063054166,0.38,0.05099019513592786,0.6839999999999999,0.025573423705088822
"RandomDuplicate(factor=2, seed=True)",0.9571428571428571,0.8385714285714286,0.9180072388933148,0.6484598013907086,0.983358636977058,0.7660403499832691,0.865,0.584,0.9295,0.7622,0.7871428571428571,0.012289036095775174,0.5531920498143179,0.03764953645577525,0.6972583632239872,0.05756773997174271,0.465,0.060415229867972875,0.6905000000000001,0.0212955394390469,0.8099999999999999,0.011605769149479936,0.5541594603905985,0.055084905698538425,0.8406363694903248,0.046477626028414626,0.42000000000000004,0.07483314773547885,0.6930000000000001,0.029597297173897488,0.78,0.041747540560578444,0.4574492631096903,0.238503780536631,0.5716117216117216,0.29381102855533636,0.385,0.20591260281974003,0.6615,0.0890730037665734,0.9571428571428571,0.02347382389307852,0.9180072388933148,0.04831999644767181,0.983358636977058,0.013724945575413414,0.865,0.0845576726264388,0.9295,0.04169532347877876,0.8585714285714285,0.026878411031752533,0.7594909947456215,0.04896572728150691,0.7373366586132544,0.04253289423193629,0.785,0.06819090848492929,0.8364999999999998,0.03776903493604249
"RandomDuplicate(factor=4, seed=True)",0.9566666666666667,0.8204444444444444,0.9512653358331591,0.7978804339754534,0.9509295525635795,0.7890770973739475,0.9799999999999999,0.8159999999999998,0.9564999999999999,0.8200000000000001,0.7433333333333334,0.01286204100310024,0.700769624620657,0.02037053906651081,0.7265781041327485,0.012021877623251047,0.6775,0.03391164991562633,0.73675,0.014611639196202465,0.7822222222222222,0.02444444444444444,0.7607523157404976,0.03559983752396535,0.7456732345822596,0.04870814543566949,0.7874999999999999,0.08838834764831843,0.7827500000000001,0.02728781779475964,0.7522222222222222,0.019436506316150997,0.7082839531305306,0.029784923856913385,0.7425396825396826,0.028126339166348647,0.6799999999999999,0.05567764362830022,0.745,0.02179449471770338,0.9566666666666667,0.013333333333333338,0.9512653358331591,0.015348714537418364,0.9509295525635795,0.038358317593968794,0.9549999999999998,0.0465026880943457,0.9564999999999999,0.014564511663629539,0.8677777777777778,0.018724777273725263,0.8683309405524229,0.017931692318655018,0.7796649130514677,0.02107301612906952,0.9799999999999999,0.016955824957813198,0.8790000000000001,0.018189969763581233
"RandomDuplicate(factor=8, seed=True)",0.9553846153846154,0.8510769230769231,0.9653251729135708,0.8859208208502934,0.9334969186428073,0.8395234523383787,1.0,0.93925,0.942,0.8246249999999999,0.7838461538461539,0.03841535688979621,0.8334793771290375,0.02940161446810475,0.792731145949023,0.029671624726307466,0.8787499999999999,0.030259296092275508,0.7553749999999999,0.04128142742202602,0.8153846153846154,0.030284645669276217,0.8579536896722395,0.029927877893882154,0.8107272758525628,0.017874322824102885,0.915,0.07121709766622059,0.7855000000000001,0.022753433806790593,0.7946153846153846,0.036047306196492254,0.8436136548227205,0.029212579347306762,0.7927225535836694,0.024536686087531817,0.9025000000000001,0.045689167206242665,0.7622500000000001,0.036015621610628885,0.9553846153846154,0.02289673240944188,0.9653251729135708,0.017106564956250105,0.9334969186428073,0.03160417635684815,1.0,0.0,0.942,0.02976575213227443,0.9061538461538461,0.012307692307692296,0.9292322097138992,0.00861671914916424,0.867939367663831,0.015006960543022141,1.0,0.0,0.8780000000000001,0.016000000000000014
"RandomDuplicate(factor=16, seed=True)",0.9438095238095239,0.8811428571428571,0.9645353892724632,0.9267305450679523,0.9316732685811431,0.8816315322092677,1.0,0.9780000000000001,0.882,0.7746000000000001,0.8261904761904763,0.041046403694304665,0.8926066312228995,0.024810014632523317,0.8450339573167446,0.03160330467257764,0.946875,0.031187437374686638,0.6934374999999999,0.0709844283100174,0.8604761904761904,0.029760952365713824,0.9146238603015036,0.016980035568746863,0.8595657164946978,0.028751008306810547,0.978125,0.018853878911247946,0.7310625,0.06181013013657227,0.832857142857143,0.05341829966621015,0.8983020775028319,0.03098343045157796,0.8421223236613893,0.04352331112342786,0.9650000000000001,0.04124052921580907,0.6875,0.10316041058710461,0.9438095238095239,0.015979011176726184,0.9645353892724632,0.009787659352176075,0.9316732685811431,0.018320518656309296,1.0,0.0,0.882,0.033555923471125036,0.9423809523809524,0.007126966450997959,0.9635847670400629,0.004343775102595413,0.9297623949923635,0.00809027143428406,1.0,0.0,0.8789999999999999,0.014966629547095779
