dataset,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_balanced_accuracy,KNN-5_accuracy,KNN-5_f1,KNN-5_precision,KNN-5_recall,KNN-5_balanced_accuracy,KNN-3_accuracy,KNN-3_f1,KNN-3_precision,KNN-3_recall,KNN-3_balanced_accuracy,DecisionTree_accuracy,DecisionTree_f1,DecisionTree_precision,DecisionTree_recall,DecisionTree_balanced_accuracy,SVM-RBF_accuracy,SVM-RBF_f1,SVM-RBF_precision,SVM-RBF_recall,SVM-RBF_balanced_accuracy,SVM-Linear_accuracy,SVM-Linear_f1,SVM-Linear_precision,SVM-Linear_recall,SVM-Linear_balanced_accuracy,RandomForest_accuracy,RandomForest_f1,RandomForest_precision,RandomForest_recall,RandomForest_balanced_accuracy,GradientBoosting_accuracy,GradientBoosting_f1,GradientBoosting_precision,GradientBoosting_recall,GradientBoosting_balanced_accuracy,NaiveBayes_accuracy,NaiveBayes_f1,NaiveBayes_precision,NaiveBayes_recall,NaiveBayes_balanced_accuracy,MLP_accuracy,MLP_f1,MLP_precision,MLP_recall,MLP_balanced_accuracy
Gauss_sep1.0,0.7675000000000001,0.7492500000000001,0.766909717671972,0.7481611021312593,0.7696153878020986,0.7523223707491968,0.7675000000000001,0.7492500000000001,0.7675000000000001,0.7492500000000001,0.7625,0.7619848820274981,0.7642879208661295,0.7625,0.7625000000000001,0.7300000000000001,0.729495306283396,0.7311330406024018,0.7300000000000001,0.7300000000000001,0.7175,0.7164092247858627,0.7205244452680178,0.7175,0.7175,0.7275,0.724225313941718,0.7331547552345652,0.7275,0.7275,0.76,0.758103952835722,0.7661250854826436,0.76,0.7600000000000001,0.7675000000000001,0.766909717671972,0.7696153878020986,0.7675000000000001,0.7675000000000001,0.7525,0.7514638326064385,0.7564012861289017,0.7525,0.7525,0.755,0.7542709582574421,0.7575265877371687,0.755,0.755,0.7625000000000001,0.7619238455069465,0.7645457224792763,0.7625000000000001,0.7625000000000001,0.7575000000000001,0.7568239873955978,0.7599094758907654,0.7575000000000001,0.7575000000000001
Gauss_sep2.0,0.9324999999999999,0.9172499999999999,0.9324447957681358,0.9171869282330789,0.9334753728656168,0.9182372540406842,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9324447957681358,0.9334753728656168,0.9324999999999999,0.9324999999999999,0.9075,0.9074691255405469,0.9080651911203901,0.9075,0.9075,0.8925000000000001,0.892309119725728,0.8947017181933742,0.8925000000000001,0.8925000000000001,0.905,0.9049499040616074,0.9060587109367597,0.905,0.905,0.9225,0.922455027094226,0.9232608795033789,0.9225,0.9225,0.9275,0.9274479212564934,0.9283628025091438,0.9275,0.9275,0.9125,0.9124542457221366,0.9132577525490324,0.9125,0.9125,0.9125,0.9124464261372871,0.9133519373543854,0.9125,0.9125,0.93,0.9299467491983593,0.9309206511645535,0.93,0.9299999999999999,0.93,0.9299459678262698,0.9309175242102071,0.93,0.93
Gauss_sep4.0,0.9949999999999999,0.9934999999999998,0.9949992186279106,0.993498045983381,0.9951219512195122,0.9937049941927991,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Gauss_sep6.0,1.0,0.99925,1.0,0.9992498827941866,1.0,0.9992682926829268,1.0,0.99925,1.0,0.99925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_sep8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_scale0.5,1.0,0.99875,1.0,0.9987498046569776,1.0,0.998780487804878,1.0,0.99875,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974996093139552,0.9975609756097562,0.9974999999999999,0.9974999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gauss_scale1.0,0.9949999999999999,0.9934999999999998,0.9949992186279106,0.993498045983381,0.9951219512195122,0.9937049941927991,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9934999999999998,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874933554052623,0.9880371660859467,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999
Gauss_scale2.0,0.9949999999999999,0.9845,0.9949992186279106,0.9844893502600973,0.9951219512195122,0.985023418567945,0.9949999999999999,0.9845,0.9949999999999999,0.9845,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875,0.9949999999999999,0.9949992186279106,0.9951219512195122,0.9949999999999999,0.9949999999999999,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875,0.9650000000000001,0.9649380745484596,0.9670278420136617,0.9650000000000001,0.9650000000000001,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.9775,0.9774847485740455,0.9783801753172146,0.9775,0.9774999999999998,0.9750000000000002,0.9749843578880009,0.9759411509269705,0.9750000000000002,0.975,0.99,0.9899992186279105,0.9901219512195121,0.99,0.99,0.9875,0.9874964823596087,0.9877990708478513,0.9875,0.9875
Gauss_scale4.0,0.9324999999999999,0.9172499999999999,0.9324447957681358,0.9171869282330789,0.9334753728656168,0.9182372540406842,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9172499999999999,0.9324999999999999,0.9324447957681358,0.9334753728656168,0.9324999999999999,0.9324999999999999,0.9075,0.9074691255405469,0.9080651911203901,0.9075,0.9075,0.8925000000000001,0.892309119725728,0.8947017181933742,0.8925000000000001,0.8925000000000001,0.905,0.9049499040616074,0.9060587109367597,0.905,0.905,0.9225,0.922455027094226,0.9232608795033789,0.9225,0.9225,0.9275,0.9274479212564934,0.9283628025091438,0.9275,0.9275,0.9125,0.9124542457221366,0.9132577525490324,0.9125,0.9125,0.9125,0.9124464261372871,0.9133519373543854,0.9125,0.9125,0.93,0.9299467491983593,0.9309206511645535,0.93,0.9299999999999999,0.93,0.9299459678262698,0.9309175242102071,0.93,0.93
Gauss_corr-0.5,1.0,0.9984999999999999,1.0,0.9984992964719218,1.0,0.9985598141695704,1.0,0.9984999999999999,1.0,0.9984999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925,0.9924964823596089,0.9927990708478515,0.9925,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925,0.9924964823596089,0.9927990708478515,0.9925,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
