param_value,param_label,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
1,imbalance=1x,0.6480189010415174,0.30254750500806427,0.4218884388594356,0.889,0.8219999999999998,0.333,0.258,0.3229999999999999,0.281,0.281,28.1,0.6980000000000001,0.323,0.462,0.35415684963310906,0.379,0.97342,0.382,1.0
2,imbalance=2x,0.6721839254957171,0.32405834326529587,0.45445740498333576,0.8533333333333335,0.792,0.33333333333333337,0.2586666666666667,0.32399999999999995,0.26666666666666666,0.3753333333333333,20.0,0.6973333333333332,0.34,0.4666666666666667,0.37056756963370363,0.417,0.9656088888888888,0.38,2.0
4,imbalance=4x,0.6859621323682265,0.34634390948246946,0.43414132486561696,0.76,0.688,0.26880000000000004,0.1888,0.2531199999999999,0.1888,0.5871999999999999,11.8,0.5871999999999999,0.2304,0.3696,0.33885272347158846,0.44400000000000006,0.9415936,0.3056,4.0
8,imbalance=8x,0.7185113753800396,0.3931551570465975,0.39377849128889875,0.6553571428571429,0.5607142857142857,0.17857142857142855,0.11607142857142858,0.16535714285714287,0.10535714285714286,0.8339761904761905,5.9,0.41428571428571426,0.10535714285714286,0.24464285714285716,0.2609951420478023,0.4753333333333334,0.855452806122449,0.2125,8.333333333333334
16,imbalance=16x,0.6988458943674009,0.3808495143539482,0.19626588573970188,0.4849056603773585,0.3245283018867925,0.1018867924528302,0.07924528301886792,0.09962264150943398,0.05660377358490566,0.9433962264150944,3.0,0.25660377358490566,0.03584905660377359,0.14339622641509434,0.20606214393662609,0.4880000000000001,0.787184051263795,0.12641509433962264,16.666666666666668
