complexity_metric,ml_metric,correlation,p_value,abs_correlation
F2_std,best_accuracy,-0.9757806245592584,0.004508106862221671,0.9757806245592584
LSC_std,best_accuracy,-0.888543494797987,0.04391316490696491,0.888543494797987
F4_std,best_accuracy,-0.7801018687544085,0.11961767652555605,0.7801018687544085
N1,best_accuracy,-0.776358180830206,0.12261099874740707,0.776358180830206
F3_std,best_accuracy,-0.7669675306644091,0.13021557206323925,0.7669675306644091
D. Over.,best_accuracy,0.7667742997733065,0.13037347394715934,0.7667742997733065
LSC,best_accuracy,0.7625906916914472,0.13380604614818378,0.7625906916914472
kDN,best_accuracy,0.7481808126350803,0.14582806019833797,0.7481808126350803
Borderline,best_accuracy,0.7250551927691534,0.16573948877259873,0.7250551927691534
D3,best_accuracy,0.7069223882450946,0.1818561474317753,0.7069223882450946
CM,best_accuracy,0.7069223882450945,0.18185614743177553,0.7069223882450945
R,best_accuracy,0.7069223882450943,0.18185614743177553,0.7069223882450943
F4,best_accuracy,0.6479730323271562,0.23703829757811717,0.6479730323271562
F1v,best_accuracy,-0.6324374023034307,0.25223337692042086,0.6324374023034307
F2,best_accuracy,0.630835122710595,0.2538149832749686,0.630835122710595
F3,best_accuracy,0.629510920007183,0.2551241068595654,0.629510920007183
D. Over._std,best_accuracy,0.6167552807637686,0.26782620729237494,0.6167552807637686
F1_std,best_accuracy,-0.5950347651476473,0.2898262472030166,0.5950347651476473
F1,best_accuracy,-0.5777888545262482,0.30761214442899626,0.5777888545262482
ONB,best_accuracy,0.5751132229488523,0.310395881383808,0.5751132229488523
Clust,best_accuracy,0.5683643129347085,0.31744583891500966,0.5683643129347085
N3_std,best_accuracy,0.5472032929374607,0.33980731943589765,0.5472032929374607
F1v_std,best_accuracy,-0.5466124899143426,0.34043708410352674,0.5466124899143426
N2,best_accuracy,0.42352538857977834,0.4773361709978941,0.42352538857977834
N2_std,best_accuracy,-0.4153426283870148,0.48679400217160296,0.4153426283870148
N3,best_accuracy,0.3940794383193649,0.5115502175459541,0.3940794383193649
Clust_std,best_accuracy,0.3705642265494389,0.5392152380036478,0.3705642265494389
N4_std,best_accuracy,-0.33860826348099143,0.5772569706980709,0.33860826348099143
ONB_std,best_accuracy,0.2870283250633762,0.6396261277814119,0.2870283250633762
N1_std,best_accuracy,-0.22853028095747532,0.7115791673264336,0.22853028095747532
kDN_std,best_accuracy,0.219176959058213,0.7231859219094829,0.219176959058213
N4,best_accuracy,0.1805459296541,0.771376845040799,0.1805459296541
Borderline_std,best_accuracy,-0.17456710583907928,0.7788683504364026,0.17456710583907928
CM_std,best_accuracy,0.12339637099924569,0.843286494601775,0.12339637099924569
R_std,best_accuracy,0.12339637099924569,0.843286494601775,0.12339637099924569
D3_std,best_accuracy,0.12339637099924552,0.843286494601775,0.12339637099924552
