param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,LogisticRegression_precision,LogisticRegression_precision_std,LogisticRegression_recall,LogisticRegression_recall_std,LogisticRegression_balanced_accuracy,LogisticRegression_balanced_accuracy_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-RBF_precision,SVM-RBF_precision_std,SVM-RBF_recall,SVM-RBF_recall_std,SVM-RBF_balanced_accuracy,SVM-RBF_balanced_accuracy_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,SVM-LINEAR_precision,SVM-LINEAR_precision_std,SVM-LINEAR_recall,SVM-LINEAR_recall_std,SVM-LINEAR_balanced_accuracy,SVM-LINEAR_balanced_accuracy_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,RandomForest_precision,RandomForest_precision_std,RandomForest_recall,RandomForest_recall_std,RandomForest_balanced_accuracy,RandomForest_balanced_accuracy_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-5_precision,KNN-5_precision_std,KNN-5_recall,KNN-5_recall_std,KNN-5_balanced_accuracy,KNN-5_balanced_accuracy_std
1,0.89,0.805,0.8918049728674777,0.8094264135199933,0.8743669918686903,0.7913503876168305,0.9119999999999999,0.8300000000000001,0.89,0.805,0.7729999999999999,0.009797958971132722,0.7727701821987174,0.009640310090113674,0.773642725097252,0.011288467593545312,0.772,0.011661903789690611,0.7729999999999999,0.009797958971132722,0.776,0.011575836902790236,0.7850062127641356,0.01576504684201601,0.7548211173771656,0.019094691071109456,0.82,0.043358966777357594,0.7759999999999999,0.011575836902790201,0.772,0.011661903789690611,0.7762368772674771,0.01412899511343402,0.7619874241013079,0.01387600861291551,0.792,0.03124099870362661,0.772,0.011661903789690611,0.89,0.01483239697419134,0.8918049728674777,0.018101907556728573,0.8743669918686903,0.014173151645337551,0.9119999999999999,0.04749736834815167,0.89,0.01483239697419134,0.8140000000000001,0.022671568097509243,0.821313822502159,0.019800679607754956,0.7919336796397373,0.030309724648705322,0.8539999999999999,0.024166091947189126,0.8140000000000001,0.022671568097509257
2,0.9129999999999999,0.7974,0.9148526365574419,0.8006297098617926,0.892142942502063,0.7842955680791657,0.9400000000000001,0.82,0.9129999999999999,0.7974,0.744,0.01019803902718558,0.7434688153980751,0.010407885149171358,0.7450567979781605,0.011029354440880606,0.742,0.013266499161421611,0.744,0.01019803902718558,0.766,0.012409673645990868,0.7681562937935982,0.023313911246034342,0.7605339109094965,0.01965142595188349,0.7799999999999999,0.060332412515993396,0.766,0.012409673645990852,0.746,0.011575836902790236,0.7462974308052577,0.01446966414648322,0.745218773578038,0.011535586755785131,0.748,0.027856776554368263,0.746,0.011575836902790236,0.9129999999999999,0.027313000567495322,0.9148526365574419,0.027928861107378296,0.892142942502063,0.022196886454368868,0.9400000000000001,0.04690415759823429,0.9129999999999999,0.027313000567495322,0.818,0.021118712081942843,0.8303733727545902,0.01828503073594323,0.7785254154280703,0.024352693883159533,0.89,0.016733200530681523,0.818,0.02111871208194288
4,0.9400000000000001,0.8124,0.9419429808754771,0.8176274039577238,0.9132821162437207,0.7883332005759226,0.986,0.8540000000000001,0.9400000000000001,0.8124,0.735,0.02469817807045696,0.7346007037514671,0.025899317105426378,0.7352828560166941,0.02231885029530772,0.7340000000000001,0.030066592756745846,0.735,0.02469817807045696,0.77,0.031937438845342614,0.7799332339611871,0.039964387683940755,0.7459643905218709,0.030736293915767883,0.8240000000000001,0.08754427451295718,0.77,0.031937438845342614,0.7529999999999999,0.02400000000000002,0.7526518508559146,0.02465380219819264,0.7538730144534375,0.025995465851855137,0.752,0.031240998703626646,0.7529999999999999,0.02400000000000002,0.9400000000000001,0.021447610589527183,0.9419429808754771,0.020873091626447855,0.9132821162437207,0.030562265217723632,0.974,0.03555277766926235,0.9400000000000001,0.02144761058952722,0.8640000000000001,0.022891046284519215,0.8790082503445733,0.019065872996047124,0.7932636256438901,0.02563266507011213,0.986,0.014966629547095779,0.8640000000000001,0.022891046284519215
8,0.9719999999999999,0.8341999999999998,0.9727933518691751,0.8387091581389535,0.9553704709805121,0.8063969263171273,1.0,0.8792,0.9719999999999999,0.8341999999999998,0.738,0.04190465367951393,0.737024524893307,0.052061289272366716,0.7348192713041088,0.02696064733798689,0.7419999999999999,0.08158431221748455,0.7379999999999999,0.04190465367951389,0.8039999999999999,0.043749285708454703,0.8173507232612373,0.04496955194388636,0.7637795125666412,0.04192552108681138,0.8859999999999999,0.09393614852653902,0.8039999999999999,0.043749285708454703,0.751,0.06514598989960932,0.752014780614582,0.07713848357677616,0.7353717610639763,0.031271724486764234,0.776,0.1327554142022087,0.751,0.06514598989960932,0.9719999999999999,0.014352700094407337,0.9727933518691751,0.013580985885957738,0.9553704709805121,0.03360838848227021,0.992,0.016000000000000014,0.9719999999999999,0.01435270009440731,0.906,0.019339079605813735,0.914362410056467,0.016158798927986325,0.8426436156703986,0.02742738055142255,1.0,0.0,0.906,0.019339079605813707
16,0.969,0.8568,0.9706742565676724,0.8620794991965685,0.9443075849003904,0.8231419260856523,1.0,0.9096,0.9690000000000001,0.8568000000000001,0.749,0.07735631842325487,0.7466735826663253,0.09011090372018818,0.737458214949665,0.04685027585305922,0.7619999999999999,0.14048487463068757,0.749,0.0773563184232549,0.867,0.040074929819027785,0.8810355341860564,0.03284553421013053,0.8044354033068488,0.052099524739732096,0.9780000000000001,0.044,0.867,0.04007492981902777,0.752,0.044452221541785734,0.7623242075636872,0.052232482230397594,0.7252722179892761,0.018620950117346272,0.808,0.10264501936285074,0.752,0.044452221541785776,0.969,0.02870540018881464,0.9706742565676724,0.02665791057301921,0.9443075849003904,0.04973938879076914,1.0,0.0,0.9690000000000001,0.02870540018881462,0.9469999999999998,0.00509901951359279,0.9496899149991014,0.004604951303394357,0.9042362092820809,0.008359514498943291,1.0,0.0,0.9470000000000001,0.005099019513592807
