dataset,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
real_example,0.5067098188949061,0.11571481595144291,0.20307306951650622,0.763758389261745,0.43624161073825507,0.028187919463087248,0.03758389261744967,0.056912751677852355,0.03221476510067114,0.03212519873296358,2.4,0.16375838926174496,0.07919463087248321,0.08053691275167785,0.16778950730792516,0.06086799276672694,0.8266654655195712,0.06174496644295302,1.1285714285714286
easy_gaussian,0.09374987371396107,0.02454139178337974,0.0021089975187092197,0.018,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06517909208831252,0.02,0.52028,0.02,1.0
moons_noise=0.05,0.4336548873844813,0.1591523614153792,0.23654427764501285,0.56,0.33399999999999996,0.05,0.168,0.0748,0.048,0.048,2.4,0.192,0.09,0.094,0.20626471661885812,0.11600000000000002,0.88322,0.12000000000000002,1.0
moons_noise=0.1,0.4336548873844813,0.1591523614153792,0.23654427764501285,0.56,0.33399999999999996,0.05,0.168,0.0748,0.048,0.048,2.4,0.192,0.09,0.094,0.20626471661885812,0.11600000000000002,0.88322,0.12000000000000002,1.0
moons_noise=0.2,0.4336548873844813,0.1591523614153792,0.23654427764501285,0.56,0.33399999999999996,0.05,0.168,0.0748,0.048,0.048,2.4,0.192,0.09,0.094,0.20626471661885812,0.11600000000000002,0.88322,0.12000000000000002,1.0
moons_noise=0.3,0.4336548873844813,0.1591523614153792,0.23654427764501285,0.56,0.33399999999999996,0.05,0.168,0.0748,0.048,0.048,2.4,0.192,0.09,0.094,0.20626471661885812,0.11600000000000002,0.88322,0.12000000000000002,1.0
