param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,LogisticRegression_precision,LogisticRegression_precision_std,LogisticRegression_recall,LogisticRegression_recall_std,LogisticRegression_balanced_accuracy,LogisticRegression_balanced_accuracy_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-RBF_precision,SVM-RBF_precision_std,SVM-RBF_recall,SVM-RBF_recall_std,SVM-RBF_balanced_accuracy,SVM-RBF_balanced_accuracy_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,SVM-LINEAR_precision,SVM-LINEAR_precision_std,SVM-LINEAR_recall,SVM-LINEAR_recall_std,SVM-LINEAR_balanced_accuracy,SVM-LINEAR_balanced_accuracy_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,RandomForest_precision,RandomForest_precision_std,RandomForest_recall,RandomForest_recall_std,RandomForest_balanced_accuracy,RandomForest_balanced_accuracy_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-5_precision,KNN-5_precision_std,KNN-5_recall,KNN-5_recall_std,KNN-5_balanced_accuracy,KNN-5_balanced_accuracy_std
1,1.0,0.9544,1.0,0.9545329900835278,1.0,0.9524816495334196,1.0,0.9568,1.0,0.9544,0.892,0.020149441679609904,0.8920510608308717,0.020922741939989022,0.8904064199966543,0.016535385176785315,0.8939999999999999,0.029393876913398165,0.892,0.020149441679609904,0.993,0.00244948974278318,0.9930247271033261,0.0024295290802638725,0.9901180353329451,0.006200977245111738,0.9960000000000001,0.00489897948556636,0.993,0.00244948974278318,0.8869999999999999,0.019899748742132416,0.8875891624834408,0.020759668407620124,0.8818837923374987,0.018691590287248143,0.8939999999999999,0.03261901286060021,0.8869999999999999,0.019899748742132416,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,1.0,0.9530666666666665,1.0,0.9287993080057007,1.0,0.9355348125559196,1.0,0.9224,1.0,0.9454,0.8893333333333333,0.017178798302300166,0.8324560063833019,0.025106870513818418,0.8414494946914937,0.03235815125092554,0.8240000000000001,0.023323807579381177,0.873,0.018055470085267776,0.9893333333333334,0.009043106644166998,0.9837963306534736,0.013836465011824154,0.9918333333333333,0.010005554013202437,0.976,0.01959591794226544,0.986,0.011575836902790236,0.8893333333333333,0.013727506854649343,0.8317846070321318,0.019402853581764953,0.8443912347547716,0.02883973398009985,0.82,0.017888543819998284,0.8720000000000001,0.013638181696985838,0.9973333333333333,0.003265986323710925,0.995959595959596,0.00494846412683468,1.0,0.0,0.992,0.009797958971132722,0.9960000000000001,0.004898979485566361,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,0.9984,0.9663999999999999,0.9959183673469388,0.909263331489829,1.0,0.9461443001443002,0.992,0.8783999999999998,0.9960000000000001,0.9334,0.9231999999999999,0.029328484447717358,0.7911799144573032,0.08116683168084705,0.8576406926406925,0.06703179093429028,0.736,0.09666436778875659,0.853,0.05427706698044767,0.9872,0.009600000000000008,0.9662821650399289,0.02661934338952974,1.0,0.0,0.9359999999999999,0.047999999999999994,0.968,0.02400000000000002,0.9296,0.023946607275353204,0.8097838007048441,0.06790305042196586,0.8730808080808081,0.05761464219453741,0.76,0.09465727652959388,0.866,0.04913247398615301,0.9984,0.0032000000000000028,0.9959183673469388,0.008163265306122458,1.0,0.0,0.992,0.016000000000000014,0.9960000000000001,0.008000000000000007,0.9936,0.009329523031752489,0.9831524099001303,0.0247851907611799,1.0,0.0,0.968,0.0466476151587624,0.984,0.023323807579381222
8,1.0,0.9832142857142856,1.0,0.9140982495765104,1.0,0.9764545454545456,1.0,0.8633333333333335,1.0,0.9304666666666666,0.9714285714285713,0.013122266479195593,0.848977978543196,0.07734606205208071,0.9568181818181818,0.053974282213808726,0.7666666666666668,0.097182531580755,0.8813333333333334,0.049837513759995906,0.9892857142857142,0.003571428571428603,0.9470355731225297,0.0189723320158103,1.0,0.0,0.9,0.033333333333333305,0.95,0.016666666666666607,0.9660714285714287,0.015361295119718963,0.827442123094297,0.0719515606683227,0.9254545454545454,0.10639082791511122,0.75,0.052704627669473016,0.8710000000000001,0.03128009661820828,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9892857142857142,0.003571428571428603,0.9470355731225297,0.0189723320158103,1.0,0.0,0.9,0.033333333333333305,0.95,0.016666666666666607
16,1.0,0.9864150943396226,1.0,0.8335238095238097,1.0,1.0,1.0,0.76,1.0,0.8800000000000001,0.9792452830188679,0.011001796028009998,0.7569696969696971,0.15641061075000073,1.0,0.0,0.6333333333333334,0.19436506316151003,0.8166666666666668,0.09718253158075506,0.9924528301886791,0.003773584905660376,0.9272727272727274,0.036363636363636376,1.0,0.0,0.8666666666666668,0.06666666666666665,0.9333333333333333,0.033333333333333305,0.9754716981132076,0.015328374348369733,0.6807792207792208,0.2478804057689435,1.0,0.0,0.5666666666666667,0.27080128015453203,0.7833333333333334,0.13540064007726602,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9849056603773585,0.016448675258644047,0.8025974025974026,0.2608288874936767,1.0,0.0,0.7333333333333334,0.2905932629027116,0.8666666666666668,0.14529663145135577
