param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-3_accuracy,KNN-3_accuracy_std,KNN-3_f1,KNN-3_f1_std,DecisionTree_accuracy,DecisionTree_accuracy_std,DecisionTree_f1,DecisionTree_f1_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,GradientBoosting_accuracy,GradientBoosting_accuracy_std,GradientBoosting_f1,GradientBoosting_f1_std,NaiveBayes_accuracy,NaiveBayes_accuracy_std,NaiveBayes_f1,NaiveBayes_f1_std,MLP_accuracy,MLP_accuracy_std,MLP_f1,MLP_f1_std
0.05,1.0,0.9574999999999999,1.0,0.957540842196883,0.8870000000000001,0.017204650534085267,0.8869797567024446,0.018005783399928452,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8880000000000001,0.01536229149573723,0.8880577226438164,0.016582041523355268,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8850000000000001,0.018708286933869726,0.8846872693581112,0.01985959244946471,0.915,0.01483239697419134,0.9156836732644578,0.015124476105188862
0.1,1.0,0.9564,1.0,0.9565576292544113,0.892,0.020149441679609904,0.8920510608308717,0.020922741939989022,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.994,0.0020000000000000018,0.9940397024777103,0.001970346288360192,0.993,0.00244948974278318,0.9930247271033261,0.0024295290802638725,0.8869999999999999,0.019899748742132416,0.8875891624834408,0.020759668407620124,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8869999999999999,0.019390719429665332,0.8871024921237712,0.020583257824711928,0.9110000000000001,0.013928388277184131,0.9117691475249934,0.013988358885909567
0.25,0.985,0.9187000000000001,0.9849648241206032,0.9192146785555391,0.867,0.015033296378372923,0.86773282841111,0.014222381425728067,0.944,0.016552945357246825,0.94509980671574,0.015992973076893235,0.945,0.015165750888103069,0.9456768019685964,0.014794961013016835,0.959,0.013564659966250548,0.9589318435308176,0.013726579722391326,0.913,0.02158703314492288,0.9135523648459639,0.021859243473482164,0.8699999999999999,0.016431676725155,0.8708486597788699,0.015652080646075255,0.959,0.009165151389911688,0.958921563798171,0.009008427232091016,0.985,0.0054772255750516665,0.9849648241206032,0.0054681495109649095,0.8710000000000001,0.016248076809271934,0.8716189265385342,0.016291367135741704,0.8739999999999999,0.015297058540778367,0.8747991658469833,0.014720999230194876
0.5,0.9390000000000001,0.8541000000000001,0.9380467730239305,0.8542569060188555,0.82,0.017029386365926366,0.8213617990420639,0.0175244889981561,0.8389999999999999,0.020832666655999678,0.8377385478383339,0.021704853406445047,0.8800000000000001,0.018708286933869722,0.880878818543124,0.018623172797158697,0.893,0.02925747767665561,0.8923206174464756,0.028560263233241453,0.8219999999999998,0.022494443758403957,0.8201309692166057,0.02284438305548623,0.817,0.018601075237738237,0.8201644206153696,0.017075569498962516,0.9,0.010488088481701525,0.8983504789330377,0.010545823602367941,0.9390000000000001,0.007999999999999957,0.9380467730239305,0.008186728831660574,0.8109999999999999,0.01772004514666932,0.8114775413018999,0.01851089175335654,0.82,0.01581138830084186,0.8220990942277144,0.015913681736320972
1.0,0.8859999999999999,0.7821999999999999,0.8817082917082917,0.7751627536363251,0.734,0.030561413579872278,0.729099761732104,0.03127367100585107,0.776,0.018275666882497082,0.7738885878856422,0.016196109972623985,0.82,0.005477225575051666,0.8152073388337684,0.004699491635770747,0.8219999999999998,0.03009983388658481,0.8051341176066812,0.0403876487955461,0.748,0.02767670500619612,0.7378425022178845,0.030028047927448343,0.7270000000000001,0.025019992006393627,0.7215742928684578,0.02645400657418941,0.834,0.021999999999999995,0.8246705876260141,0.024652650759365114,0.8859999999999999,0.019849433241279225,0.8817082917082917,0.02201669145907564,0.7369999999999999,0.028913664589601946,0.7292607699769935,0.028537271794985733,0.738,0.021118712081942895,0.7332412859074149,0.02088603306507483
1.5,0.873,0.7414000000000001,0.8707051479259601,0.7332078011514965,0.6769999999999999,0.03443835071544511,0.674707688656966,0.03470555205145683,0.727,0.008124038404635967,0.719927242887521,0.004023786888662427,0.77,0.020248456731316606,0.7620643742362623,0.023243899054460886,0.794,0.022226110770892843,0.7730370624543956,0.0321477644718273,0.6980000000000001,0.026381811916545813,0.6773268135806033,0.027962091536889076,0.679,0.034554305086341976,0.6792587328052184,0.035089473318313004,0.828,0.01503329637837288,0.8205574561491036,0.01861599389449751,0.873,0.011661903789690611,0.8707051479259601,0.012822603634951505,0.682,0.040074929819027744,0.675836127163249,0.03751031814512365,0.686,0.027820855486487092,0.6786573656556856,0.03107139544872968
2.0,0.8460000000000001,0.7106000000000001,0.8358908866003107,0.7026970699707632,0.643,0.036,0.6453722474969183,0.03637591295057404,0.6980000000000001,0.013266499161421572,0.6866744874983876,0.014613775489327805,0.7520000000000001,0.022494443758404006,0.7442096745496272,0.023957504910778974,0.7710000000000001,0.024166091947189165,0.7592726744561296,0.027342128522932666,0.666,0.01959591794226541,0.6462078163475979,0.019340125443308997,0.634,0.03733630940518893,0.6381445962314971,0.03801575931220705,0.805,0.014491376746189413,0.7910231118287717,0.019724671037477777,0.8460000000000001,0.022449944320643667,0.8358908866003107,0.029594495545277034,0.6449999999999999,0.037682887362833546,0.6384137359786036,0.032427711978268506,0.6460000000000001,0.031527765540868884,0.6417614687197882,0.030775553241680857
