param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,LogisticRegression_precision,LogisticRegression_precision_std,LogisticRegression_recall,LogisticRegression_recall_std,LogisticRegression_balanced_accuracy,LogisticRegression_balanced_accuracy_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-RBF_precision,SVM-RBF_precision_std,SVM-RBF_recall,SVM-RBF_recall_std,SVM-RBF_balanced_accuracy,SVM-RBF_balanced_accuracy_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,SVM-LINEAR_precision,SVM-LINEAR_precision_std,SVM-LINEAR_recall,SVM-LINEAR_recall_std,SVM-LINEAR_balanced_accuracy,SVM-LINEAR_balanced_accuracy_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,RandomForest_precision,RandomForest_precision_std,RandomForest_recall,RandomForest_recall_std,RandomForest_balanced_accuracy,RandomForest_balanced_accuracy_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-5_precision,KNN-5_precision_std,KNN-5_recall,KNN-5_recall_std,KNN-5_balanced_accuracy,KNN-5_balanced_accuracy_std
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,0.999,1.0,0.9989949748743718,1.0,1.0,1.0,0.998,1.0,0.999,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318,0.999,0.0020000000000000018,0.9989949748743718,0.0020100502512562903,1.0,0.0,0.998,0.0040000000000000036,0.999,0.0020000000000000018,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318
1.5,1.0,0.9984,1.0,0.9983919597989951,1.0,1.0,1.0,0.9968000000000001,1.0,0.9984,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.998,0.00244948974278318,0.9979899497487438,0.0024617987364655165,1.0,0.0,0.9960000000000001,0.00489897948556636,0.998,0.00244948974278318
2.0,1.0,0.993,1.0,0.9929829045726143,1.0,0.9951918391839184,1.0,0.9907999999999999,1.0,0.993,0.99,0.006324555320336764,0.9899698492462312,0.006324603232243247,0.993979797979798,0.008010196542413747,0.986,0.00489897948556636,0.99,0.006324555320336764,0.99,0.006324555320336764,0.9899798494962374,0.006332543649307935,0.991999599959996,0.007483689010119546,0.9879999999999999,0.007483314773547889,0.99,0.006324555320336764,0.99,0.006324555320336764,0.9899698492462312,0.006324603232243247,0.993979797979798,0.008010196542413747,0.986,0.00489897948556636,0.99,0.006324555320336764,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9950000000000001,0.004472135954999583,0.9949949748743719,0.004472147247972762,0.9960000000000001,0.00489897948556636,0.9940000000000001,0.004898979485566361,0.9950000000000001,0.004472135954999583
3.0,0.998,0.9698,0.99799994999875,0.969684971309114,0.998019801980198,0.971951459800254,0.998,0.9676,0.998,0.9698,0.9640000000000001,0.011135528725660055,0.9637973675230205,0.01134543163856434,0.9677122227686686,0.007632399290971934,0.96,0.016733200530681527,0.9640000000000001,0.011135528725660055,0.9650000000000001,0.01140175425099139,0.9648698334109105,0.011430233353582677,0.968003258785551,0.014114388088053875,0.9620000000000001,0.01720465053408527,0.9650000000000001,0.01140175425099139,0.961,0.011575836902790236,0.9608494521314336,0.011708901130265422,0.9639234879370291,0.013054279336590561,0.958,0.017204650534085233,0.961,0.011575836902790236,0.998,0.00244948974278318,0.99799994999875,0.002449602013338257,0.998019801980198,0.003960396039603964,0.998,0.0040000000000000036,0.998,0.00244948974278318,0.961,0.012806248474865708,0.9609082534814555,0.012936196245682804,0.9620985275298238,0.014045012965244923,0.9600000000000002,0.019999999999999983,0.961,0.012806248474865708
4.0,0.9879999999999999,0.945,0.9879290921666982,0.9451834737189249,0.9939987876338654,0.9429594199869179,0.982,0.9476000000000001,0.9879999999999999,0.9450000000000001,0.9299999999999999,0.012649110640673476,0.9306509815454745,0.012714338285837186,0.9215564740940113,0.010680448812995283,0.9400000000000001,0.016733200530681475,0.93,0.012649110640673528,0.9359999999999999,0.011575836902790182,0.9359028061302986,0.012045846815774294,0.9360129720970761,0.007709387998318707,0.9359999999999999,0.020591260281973965,0.9359999999999999,0.011575836902790192,0.931,0.01199999999999996,0.9315479330198165,0.012219853991269885,0.9233243283604379,0.007792576072074145,0.9400000000000001,0.017888543819998284,0.931,0.01199999999999996,0.9879999999999999,0.00509901951359279,0.9879290921666982,0.005131607965178777,0.9939987876338654,0.00795196771134521,0.982,0.007483314773547889,0.9879999999999999,0.00509901951359279,0.9400000000000001,0.01516575088810307,0.9398865557323364,0.01553289447836898,0.939904537749198,0.009507552787029297,0.9400000000000001,0.02280350850198274,0.9400000000000001,0.01516575088810307
5.0,0.9730000000000001,0.9236000000000001,0.9728423906182948,0.9242844941909111,0.9778330226037542,0.9173639598285286,0.968,0.9315999999999999,0.9730000000000001,0.9236000000000001,0.907,0.014000000000000012,0.9083806361320944,0.013691360010165271,0.8952249749861864,0.014893124003034185,0.922,0.014696938456699041,0.907,0.013999999999999976,0.9040000000000001,0.01067707825203132,0.9046484824830507,0.011385673009002882,0.8977374632836816,0.008519868215395547,0.9119999999999999,0.022271057451320072,0.9040000000000001,0.01067707825203132,0.9080000000000001,0.014352700094407337,0.9089714813683736,0.014928569568660075,0.8985198819410352,0.012164617081095681,0.9199999999999999,0.024494897427831754,0.908,0.0143527000944073,0.9730000000000001,0.014352700094407337,0.9728423906182948,0.014502662307902864,0.9778330226037542,0.014738020715003568,0.968,0.017204650534085267,0.9730000000000001,0.014352700094407337,0.9259999999999999,0.02437211521390785,0.9265794803527416,0.024536527037663746,0.9175044563279856,0.01970592870998467,0.9359999999999999,0.03136877428271622,0.9259999999999999,0.024372115213907877
