param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_accuracy_std,LogisticRegression_f1,LogisticRegression_f1_std,LogisticRegression_precision,LogisticRegression_precision_std,LogisticRegression_recall,LogisticRegression_recall_std,LogisticRegression_balanced_accuracy,LogisticRegression_balanced_accuracy_std,SVM-RBF_accuracy,SVM-RBF_accuracy_std,SVM-RBF_f1,SVM-RBF_f1_std,SVM-RBF_precision,SVM-RBF_precision_std,SVM-RBF_recall,SVM-RBF_recall_std,SVM-RBF_balanced_accuracy,SVM-RBF_balanced_accuracy_std,SVM-LINEAR_accuracy,SVM-LINEAR_accuracy_std,SVM-LINEAR_f1,SVM-LINEAR_f1_std,SVM-LINEAR_precision,SVM-LINEAR_precision_std,SVM-LINEAR_recall,SVM-LINEAR_recall_std,SVM-LINEAR_balanced_accuracy,SVM-LINEAR_balanced_accuracy_std,RandomForest_accuracy,RandomForest_accuracy_std,RandomForest_f1,RandomForest_f1_std,RandomForest_precision,RandomForest_precision_std,RandomForest_recall,RandomForest_recall_std,RandomForest_balanced_accuracy,RandomForest_balanced_accuracy_std,KNN-5_accuracy,KNN-5_accuracy_std,KNN-5_f1,KNN-5_f1_std,KNN-5_precision,KNN-5_precision_std,KNN-5_recall,KNN-5_recall_std,KNN-5_balanced_accuracy,KNN-5_balanced_accuracy_std
1,0.7630000000000001,0.7493999999999998,0.7747708101144491,0.7561457609336103,0.7557154994538171,0.7363406620010874,0.828,0.7792,0.7630000000000001,0.7493999999999998,0.7630000000000001,0.012083045973594582,0.7665575629220255,0.010443833982911432,0.7557154994538171,0.017097778076277825,0.7779999999999999,0.011661903789690613,0.7630000000000001,0.012083045973594582,0.76,0.01483239697419134,0.7747708101144491,0.01859310836825277,0.7303366922753396,0.02174668601905035,0.828,0.04955804677345547,0.76,0.014832396974191302,0.7609999999999999,0.008000000000000007,0.7684067045242351,0.011542280247878248,0.7452389571690669,0.010615821476900131,0.794,0.03006659275674581,0.7609999999999999,0.007999999999999995,0.744,0.018814887722226795,0.7484454941632578,0.016277949963120045,0.7380829018516988,0.03379049893483571,0.762,0.03969886648255841,0.744,0.018814887722226795,0.719,0.019595917942265444,0.7225482329440842,0.025909499387118232,0.7123292592555142,0.011453178872496285,0.734,0.04363484845854286,0.719,0.019595917942265444
2,0.742,0.7298,0.7020795325406228,0.6854721375711655,0.8485739287750969,0.8185144847740695,0.612,0.5928000000000001,0.742,0.7298,0.737,0.02541653005427769,0.694284332020181,0.04172502128242654,0.8254352740504043,0.02212767623449,0.6020000000000001,0.06013318551349165,0.737,0.025416530054277662,0.724,0.013928388277184131,0.6639351513697493,0.02076008278159099,0.8485739287750969,0.023547414303806767,0.546,0.026532998322843195,0.724,0.01392838827718412,0.742,0.02420743687382043,0.7020795325406228,0.03814208141278264,0.8275356431700518,0.02089267385052802,0.612,0.05564171097297424,0.742,0.02420743687382043,0.728,0.021587033144922923,0.6840150491893143,0.040397169654391135,0.8131188693038656,0.02180342461701877,0.5940000000000001,0.06280127387243034,0.7280000000000001,0.021587033144922888,0.718,0.03501428280002319,0.68304662273596,0.04450512334056044,0.7779087085709292,0.040638541703010164,0.6100000000000001,0.05291502622129181,0.718,0.03501428280002317
4,0.6599999999999999,0.6334,0.5224761948472174,0.45173676186262723,0.9138966533982014,0.8408418303980959,0.376,0.3144,0.6599999999999999,0.6334,0.6599999999999999,0.02258317958127245,0.5215429553805712,0.052931199586166544,0.8741725158798674,0.011412871266180513,0.374,0.053141321022345686,0.6599999999999999,0.022583179581272417,0.607,0.018601075237738292,0.37451484269049923,0.05790852771187136,0.9138966533982014,0.03416804605696156,0.238,0.04749736834815167,0.607,0.018601075237738292,0.61,0.05890670590009258,0.3659266204034951,0.19391451567388931,0.7244165613246564,0.3643154296509803,0.25,0.1422673539502299,0.61,0.05890670590009258,0.657,0.012083045973594582,0.5224761948472174,0.02363732929915763,0.8605810557786686,0.03733966782055932,0.376,0.025768197453450256,0.657,0.012083045973594582,0.633,0.02400000000000002,0.4742231959913532,0.05621209753269535,0.8311423656090857,0.03486235070173891,0.334,0.05122499389946279,0.633,0.02400000000000002
8,0.581,0.548,0.3018131995231232,0.17876825971547783,0.9278506787330316,0.7041113168106816,0.186,0.10640000000000001,0.5810000000000001,0.548,0.5700000000000001,0.02949576240750524,0.2553043868274423,0.0934736976148488,0.9278506787330316,0.04236683745419126,0.15200000000000002,0.0661513416341649,0.5700000000000001,0.02949576240750525,0.526,0.019339079605813735,0.09913074709412432,0.07409175625597658,0.7846153846153847,0.39343728777059755,0.054000000000000006,0.041761226035642196,0.526,0.019339079605813703,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.581,0.027092434368288124,0.3018131995231232,0.08777221742439817,0.9022137887413031,0.0767582973133058,0.186,0.06468384651518493,0.5810000000000001,0.027092434368288124,0.563,0.028565713714171378,0.2375929651326994,0.0908136227353388,0.9058767319636883,0.06113010072264486,0.13999999999999999,0.060332412515993424,0.563,0.028565713714171378
16,0.53,0.5094,0.11834887675423447,0.03922405423241006,0.8666666666666668,0.30064935064935067,0.064,0.021200000000000004,0.53,0.5094,0.517,0.016309506430300102,0.07777139440781579,0.06266900653065142,0.6365800865800866,0.32921530032355656,0.042,0.03487119154832539,0.517,0.016309506430300102,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.53,0.018165902124584965,0.11834887675423447,0.057792440445708144,0.8666666666666668,0.19436506316151,0.064,0.032,0.53,0.018165902124584965,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
