complexity_metric,ml_metric,correlation,p_value,abs_correlation
CM,best_accuracy,-0.9991896554018539,3.395307201451022e-32,0.9991896554018539
R,best_accuracy,-0.9991896554018538,3.395307201461252e-32,0.9991896554018538
D3,best_accuracy,-0.9991896554018538,3.395307201461252e-32,0.9991896554018538
N3,best_accuracy,-0.9989821873478414,4.163370735879969e-31,0.9989821873478414
Borderline,best_accuracy,-0.9972565982837744,2.2534330755949094e-26,0.9972565982837744
N1,best_accuracy,-0.9961105830102133,1.0425727265502776e-24,0.9961105830102133
kDN,best_accuracy,-0.9946976511945013,3.131194084397071e-23,0.9946976511945013
ONB,best_accuracy,-0.9868343504155069,6.678972146239193e-19,0.9868343504155069
Clust,best_accuracy,-0.9859296218863093,1.3816448115657545e-18,0.9859296218863093
D. Over.,best_accuracy,-0.9845224116181867,3.916969845222506e-18,0.9845224116181867
N2,best_accuracy,-0.9333996051440222,2.8898303778768017e-11,0.9333996051440222
F4,best_accuracy,-0.7082660485602525,0.00010765651105435044,0.7082660485602525
N4,best_accuracy,-0.66807763475102,0.0003601567107573112,0.66807763475102
F3,best_accuracy,-0.6471691484717128,0.0006305360797450968,0.6471691484717128
LSC,best_accuracy,-0.639855544346672,0.0007596316079366795,0.639855544346672
F1,best_accuracy,-0.5227214763827583,0.008775587300762572,0.5227214763827583
F2,best_accuracy,-0.5030590918835708,0.0122208722260224,0.5030590918835708
F1v,best_accuracy,-0.43095483640697624,0.03551588144818089,0.43095483640697624
N4,mean_accuracy,-0.9383091526903693,1.273808261510339e-11,0.9383091526903693
N2,mean_accuracy,-0.9206762608732457,1.8617452059696396e-10,0.9206762608732457
F4,mean_accuracy,-0.9173146664262082,2.892458596338125e-10,0.9173146664262082
Clust,mean_accuracy,-0.9114888239176455,5.949713660466153e-10,0.9114888239176455
ONB,mean_accuracy,-0.9101689337263896,6.957889952970655e-10,0.9101689337263896
D. Over.,mean_accuracy,-0.891909253180688,4.880992168780464e-09,0.891909253180688
Borderline,mean_accuracy,-0.8864442078023851,8.179335822348726e-09,0.8864442078023851
N1,mean_accuracy,-0.8858931396093361,8.603837784016586e-09,0.8858931396093361
kDN,mean_accuracy,-0.8821295006390457,1.2073618250786532e-08,0.8821295006390457
