param_value,param_label,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR,F1_std,F1v_std,F2_std,F3_std,F4_std,N3_std,N4_std,kDN_std,CM_std,R_std,D3_std,D. Over._std,Borderline_std,N1_std,N2_std,ONB_std,LSC_std,Clust_std,IR_std
scale=0.5,scale=0.5,0.05215166761592229,0.012795793162687748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0345050143046165,0.01,0.501325,0.01,1.0,0.0019154621328261207,0.0007617719349986896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002711300270155376,0.0,0.0012689562640217798,0.0,0.0
scale=1.0,scale=1.0,0.09956134019233334,0.025366906627892583,0.005501608565512232,0.028000000000000004,0.0,0.002,0.0,0.0018000000000000002,0.002,0.002,0.2,0.004,0.001,0.01,0.05500343033123793,0.01,0.536075,0.01,1.0,0.004167097654520735,0.0016571519597386247,0.0047372947352748674,0.017492855684535902,0.0,0.0024494897427831783,0.0,0.0022271057451320087,0.0024494897427831783,0.0024494897427831783,0.24494897427831783,0.004898979485566357,0.002,0.0,0.0048718323332962166,0.0,0.01010442972166168,0.0,0.0
scale=1.5,scale=1.5,0.14270829798596257,0.037686652466545026,0.03171213758728233,0.12,0.003,0.005,0.003,0.0054,0.002,0.002,0.2,0.016,0.003,0.015000000000000003,0.07390327430910278,0.014000000000000002,0.59876,0.014000000000000002,1.0,0.006475115847488391,0.002643763712924417,0.012235742875399263,0.030331501776206197,0.006,0.006324555320336759,0.004,0.005083306010855534,0.0024494897427831783,0.0024494897427831783,0.24494897427831783,0.012409673645990858,0.004,0.00632455532033676,0.0070059451185167255,0.004898979485566357,0.017541398176884312,0.004898979485566357,0.0
scale=2.0,scale=2.0,0.18209229452106684,0.04975072252275961,0.06128596591882053,0.24299999999999997,0.045,0.011,0.006,0.018000000000000006,0.011,0.011,1.1,0.052000000000000005,0.020999999999999998,0.023,0.09227236334385569,0.025,0.662115,0.025,1.0,0.008728586549979352,0.0036972991253310006,0.01887805327444707,0.03906404996924922,0.05176871642217914,0.0058309518948453,0.0058309518948453,0.006957010852370436,0.0058309518948453,0.0058309518948453,0.58309518948453,0.020149441679609886,0.0058309518948453,0.008717797887081349,0.00912858955694293,0.00894427190999916,0.022502053239649048,0.00894427190999916,0.0
scale=3.0,scale=3.0,0.25128549358010405,0.07311809671163785,0.11602887905879411,0.442,0.193,0.06499999999999999,0.021,0.067,0.05900000000000001,0.05900000000000001,5.9,0.151,0.069,0.099,0.12767149043291265,0.08399999999999999,0.7686700000000001,0.08499999999999999,1.0,0.012893001638456905,0.005940798963245647,0.0298168220959712,0.04445222154178575,0.08512343978012167,0.023021728866442676,0.01624807680927192,0.012132600710482479,0.016552945357246846,0.016552945357246846,1.6552945357246849,0.022226110770892867,0.009695359714832657,0.020832666655999657,0.013038164057339789,0.023748684174075836,0.025845741428715097,0.02449489742783178,0.0
scale=4.0,scale=4.0,0.31001792255962746,0.09549835223562146,0.16225413906276626,0.576,0.34900000000000003,0.101,0.052000000000000005,0.1008,0.083,0.08299999999999999,8.3,0.22599999999999998,0.10600000000000001,0.151,0.15952361445245783,0.137,0.8373200000000001,0.14,1.0,0.016512963790613913,0.008293312384830737,0.0385189171166934,0.04140048308896889,0.07754998388136519,0.02395829710142188,0.019646882704388503,0.014344336861632882,0.014352700094407327,0.014352700094407322,1.4352700094407325,0.03215587038162706,0.019339079605813717,0.02289104628451919,0.016851634388708812,0.018867962264113212,0.020801480716525957,0.018973665961010275,0.0
scale=5.0,scale=5.0,0.36043563025072467,0.11693331825900914,0.20124295373471518,0.664,0.49000000000000005,0.135,0.08,0.13419999999999996,0.11199999999999999,0.11200000000000002,11.2,0.29700000000000004,0.123,0.197,0.18706342248419547,0.16899999999999998,0.87745,0.17099999999999999,1.0,0.019599720063177613,0.010695258461989616,0.0456903838141715,0.038,0.04743416490252571,0.025495097567963924,0.019235384061671346,0.02647564918939663,0.029597297173897485,0.02959729717389749,2.9597297173897483,0.0548270006474912,0.024207436873820407,0.03325657829663178,0.020196517196143782,0.032619012860600184,0.01779233683359215,0.030886890422960996,0.0
