param_value,param_label,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR
0.5,scale=0.5,0.05277030619537158,0.013551485500266941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03625688091915971,0.01,0.502525,0.01,1.0
1.0,scale=1.0,0.10011923242921691,0.026704874046258396,0.007047315757915673,0.035,0.0,0.003,0.0,0.0038,0.003,0.003,0.3,0.008,0.0,0.01,0.05795722729689384,0.01,0.54244,0.01,1.0
1.5,scale=1.5,0.14288387480664735,0.0394904283520464,0.03384279370448655,0.15,0.013000000000000001,0.006,0.003,0.007400000000000001,0.003,0.003,0.3,0.022,0.003,0.018,0.07760961825522603,0.016,0.60619,0.016,1.0
2.0,scale=2.0,0.18170934649689588,0.0519273791034434,0.06299240080372177,0.272,0.061,0.016,0.005,0.019200000000000002,0.01,0.01,1.0,0.05600000000000001,0.019000000000000003,0.032,0.09634115486151616,0.026999999999999996,0.6694500000000001,0.026999999999999996,1.0
3.0,scale=3.0,0.2495491882765327,0.07581801391521334,0.11587873050028039,0.47400000000000003,0.227,0.07400000000000001,0.029000000000000005,0.0666,0.05700000000000001,0.05700000000000001,5.7,0.152,0.068,0.096,0.13239484570131319,0.084,0.772575,0.085,1.0
4.0,scale=4.0,0.3068561079573138,0.09848730960729674,0.15991820407174004,0.6,0.41,0.10900000000000001,0.06,0.10300000000000001,0.08499999999999999,0.08499999999999999,8.5,0.223,0.10899999999999999,0.162,0.16449801228197797,0.14100000000000001,0.8381350000000001,0.143,1.0
5.0,scale=5.0,0.35591041352916913,0.12002972245585881,0.1967583255076514,0.672,0.5120000000000001,0.14700000000000002,0.086,0.13479999999999998,0.10500000000000001,0.10500000000000001,10.5,0.29500000000000004,0.124,0.20600000000000002,0.19188011723206247,0.17099999999999999,0.8780699999999999,0.172,1.0
