param_value,best_accuracy,mean_accuracy,best_f1,mean_f1,best_precision,mean_precision,best_recall,mean_recall,best_balanced_accuracy,mean_balanced_accuracy,LogisticRegression_accuracy,LogisticRegression_f1,LogisticRegression_balanced_accuracy,SVM-RBF_accuracy,SVM-RBF_f1,SVM-RBF_balanced_accuracy,SVM-LINEAR_accuracy,SVM-LINEAR_f1,SVM-LINEAR_balanced_accuracy,RandomForest_accuracy,RandomForest_f1,RandomForest_balanced_accuracy,KNN-5_accuracy,KNN-5_f1,KNN-5_balanced_accuracy
0.5,1.0,0.9995,1.0,0.999493670886076,,,,,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974999999999999,0.9974683544303797,0.9974999999999999,1.0,1.0,1.0
1.0,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949992186279106,,,,,0.9949999999999999,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999
1.5,0.9949999999999999,0.9944999999999998,0.9949992186279106,0.9945174360323069,,,,,0.9949999999999999,0.9944999999999998,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9949999999999999,0.9949992186279106,0.9949999999999999,0.9925,0.9925903056498919,0.9925,0.9949999999999999,0.9949992186279106,0.9949999999999999
2.0,0.9949999999999999,0.9880000000000001,0.9949992186279106,0.9879958243301743,,,,,0.9949999999999999,0.9880000000000001,0.9875,0.9874026590693257,0.9875,0.99,0.9899992186279105,0.99,0.99,0.9899992186279105,0.99,0.9775,0.9775788066978144,0.9774999999999998,0.9949999999999999,0.9949992186279106,0.9949999999999999
3.0,0.9574999999999999,0.9545,0.9573273421374686,0.9543463989659454,,,,,0.9574999999999999,0.9545,0.9574999999999999,0.9573273421374686,0.9574999999999999,0.9550000000000001,0.9546009546009546,0.9550000000000001,0.9550000000000001,0.95491842915945,0.9550000000000001,0.95,0.9498530331457161,0.95,0.9550000000000001,0.9550322357861374,0.9550000000000001
4.0,0.9324999999999999,0.9205,0.933228517848771,0.9210369381703412,,,,,0.9324999999999999,0.9205,0.9324999999999999,0.933228517848771,0.9324999999999999,0.9225,0.9229247307669859,0.9225,0.9275,0.9282941531042797,0.9275,0.9125,0.9125488907919899,0.9125,0.9075,0.9081883983396797,0.9075
5.0,0.9075,0.9005000000000001,0.9084273333370989,0.9013225500230592,,,,,0.9075,0.9005000000000001,0.9025000000000001,0.903371074546663,0.9025000000000001,0.9025000000000001,0.903371074546663,0.9025000000000001,0.9075,0.9084273333370989,0.9075,0.8925000000000001,0.8919847826022826,0.8925000000000001,0.8975000000000002,0.8994584850825884,0.8975000000000002
