param_value,param_label,F1,F1v,F2,F3,F4,N3,N4,kDN,CM,R,D3,D. Over.,Borderline,N1,N2,ONB,LSC,Clust,IR,F1_std,F1v_std,F2_std,F3_std,F4_std,N3_std,N4_std,kDN_std,CM_std,R_std,D3_std,D. Over._std,Borderline_std,N1_std,N2_std,ONB_std,LSC_std,Clust_std,IR_std
corr=-0.8,corr=-0.8,0.16379455728774633,0.009386722153913202,0.06769682814597863,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.046199077119355635,0.012,0.532415,0.012,1.0,0.008550377510231194,0.00044880153330168317,0.02780307687354141,0.08514693182963201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022857909777352844,0.002449489742783178,0.004497793903682103,0.002449489742783178,0.0
corr=-0.5,corr=-0.5,0.1625896805188006,0.023090616716617007,0.06651363217947723,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06413801465044827,0.013000000000000001,0.56938,0.013000000000000001,1.0,0.007624286642707059,0.0012319098376890156,0.031090078931535373,0.09810198774744576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004116404792326548,0.004,0.006529153850232058,0.004,0.0
corr=-0.2,corr=-0.2,0.16152718471085775,0.03638469731173357,0.05838151363069981,0.219,0.007000000000000001,0.006,0.002,0.007400000000000001,0.005,0.005,0.5,0.018,0.005,0.011000000000000001,0.07776783305500118,0.014000000000000002,0.6127,0.014000000000000002,1.0,0.007233693488086561,0.0020989569718220503,0.02844667227944416,0.09334880824091972,0.005999999999999999,0.0037416573867739412,0.002449489742783178,0.0022449944320643653,0.0031622776601683794,0.0031622776601683794,0.31622776601683794,0.0024494897427831783,0.005477225575051661,0.001999999999999999,0.005597868832173218,0.0019999999999999996,0.011098637303741384,0.0019999999999999996,0.0
corr=0.0,corr=0.0,0.16502307690873663,0.04442048704228177,0.04815627326210523,0.183,0.019,0.008,0.003,0.011200000000000002,0.005,0.005,0.5,0.03,0.015,0.018,0.08413502689471072,0.017,0.6344449999999999,0.017,1.0,0.0077379719063145015,0.0032220156362807346,0.016038079209880676,0.038548670534792766,0.024576411454889015,0.00812403840463596,0.004,0.004791659420284375,0.0031622776601683794,0.0031622776601683794,0.31622776601683794,0.01224744871391589,0.0031622776601683794,0.009797958971132711,0.008197426422399548,0.005099019513592785,0.020356537033591963,0.005099019513592785,0.0
corr=0.2,corr=0.2,0.15753352642897683,0.053894740073134065,0.0392335235689137,0.15799999999999997,0.028999999999999998,0.026000000000000002,0.012,0.033,0.027000000000000003,0.027000000000000003,2.7,0.076,0.027000000000000003,0.044000000000000004,0.09479568248166888,0.043000000000000003,0.675165,0.043,1.0,0.006492895668243096,0.003115202528989464,0.019170637278599943,0.06500769185258003,0.011575836902790224,0.01067707825203131,0.006782329983125268,0.005329165037789693,0.00812403840463596,0.00812403840463596,0.812403840463596,0.010198039027185569,0.010295630140987002,0.011999999999999999,0.006155379092659004,0.010295630140987002,0.014692418112754606,0.010295630140987,0.0
corr=0.5,corr=0.5,0.15763998503754545,0.0661866267084938,0.04309760500456303,0.153,0.074,0.041,0.022,0.0546,0.04,0.04,4.0,0.135,0.051000000000000004,0.07,0.10375082405091854,0.066,0.715155,0.066,1.0,0.007359620126095766,0.0038429253142314556,0.011447449206384339,0.029427877939124315,0.013928388277184121,0.01067707825203131,0.012083045973594574,0.0065299310869258,0.013038404810405297,0.013038404810405297,1.3038404810405297,0.007071067811865474,0.013928388277184121,0.010954451150103324,0.007921377121951838,0.012409673645990858,0.016242470563310234,0.012409673645990858,0.0
corr=0.8,corr=0.8,0.1578117786635177,0.07808598862174812,0.04566285450099412,0.187,0.154,0.057999999999999996,0.029000000000000005,0.07339999999999999,0.06,0.06,6.0,0.15899999999999997,0.062,0.09999999999999999,0.10384009429688261,0.087,0.7510299999999999,0.091,1.0,0.00849441006109515,0.004566071934948137,0.010729872761068864,0.028390139133156776,0.028879058156387305,0.010770329614269008,0.005830951894845302,0.008957678270623472,0.013784048752090224,0.013784048752090224,1.378404875209022,0.022671568097509268,0.02315167380558045,0.010488088481701515,0.00884824950716974,0.010295630140987003,0.015324371112707992,0.0058309518948452994,0.0
