param_value,param_label,F1,F1v,F2,F3,F4,IN,Raug,deg_overlap,N3,SI,N4,kDN,D3,CM,Borderline,N1,T1,Clust,N2,ONB,LSCAvg,DBC,NSG,ICSV,MRCA,C1,Purity,C2,NeighbourhoodSeparability,IR,Silhouette,Bhattacharyya,Wasserstein,SVM_SVR,TwoNN_ID,F1_std,F1v_std,F2_std,F3_std,F4_std,IN_std,Raug_std,deg_overlap_std,N3_std,SI_std,N4_std,kDN_std,D3_std,CM_std,Borderline_std,N1_std,T1_std,Clust_std,N2_std,ONB_std,LSCAvg_std,DBC_std,NSG_std,ICSV_std,MRCA_std,C1_std,Purity_std,C2_std,NeighbourhoodSeparability_std,IR_std,Silhouette_std,Bhattacharyya_std,Wasserstein_std,SVM_SVR_std,TwoNN_ID_std
imbalance=1x,imbalance=1x,0.065886413576190253,0.016340368757971974,0,0,0,0.0060000000000000001,0,0,0,1,0,0,0,0,0,0.01,0.89800000000000002,0.01,0.04053667804927534,0.01,0.50577000000000005,1,100,7.0242820793151619,0.043828672013971497,0,0.092273250960371284,0.030870237220492029,0.029478587845752101,1,0.76383343555515837,0.013822343405432253,1.8723179927624627,0.052000000000000005,2.0141438124573128,0.0025296265147064672,0.0010014210003240114,0,0,0,0.0075166481891864546,0,0,0,0,0,0,0,0,0,0,0.063134776470658377,0,0.003317479830310251,0,0.0034533100063562461,0,0,5.25015916363163,0.0096758141258154757,0,0.00055851050541208915,0.0013240147111498613,0.00015460456360609826,0,0.0048657233049001049,0.0090171554569462627,0.0047512940517568467,0.002449489742783177,0.16545472422488608
imbalance=2x,imbalance=2x,0.069018057011082296,0.017059972483720136,0,0,0,0.0080000000000000002,0,0.0013333333333333335,0,1,0,0.00026666666666666668,0,0,0,0.013333333333333332,0.93200000000000005,0.013333333333333332,0.047554388402275813,0.014999999999999999,0.45194666666666672,1,75,9.8618572231486894,0.043885830292548847,0.0001200000000000001,0.10781583770469563,0.037293440166206171,0.034395883439470691,2,0.75784029230314653,0.023026774432373838,1.9655286497992392,0.06933333333333333,1.9545667597554619,0.0033105436125490991,0.0010855738607235383,0,0,0,0.010022197585581939,0,0.002666666666666667,0,0,0,0.00053333333333333336,0,0,0,1.7347234759768071e-18,0.045489925624618607,1.7347234759768071e-18,0.003870051332960514,0,0.0048240058145451511,0,0,8.3933632603045929,0.0027329936248311477,0.0002400000000000002,0.000736875013074054,0.0017802605770738443,0.00019618729142137185,0,0.0036678677367113824,0.014422826698853339,0.0046434229660065034,0.0053333333333333349,0.26117695479122111
imbalance=4x,imbalance=4x,0.068987739597197784,0.017407903380683525,0,0,0,0.0096000000000000009,0,0.0032000000000000002,0,1,0,0.00096000000000000013,0,0,0.0016000000000000001,0.016,0.94399999999999995,0.016,0.050235449994585804,0.025000000000000001,0.32998400000000006,1,62.5,14.979400039959771,0.077957329461135413,0.00061866666666666678,0.098129666956134246,0.040795198785079222,0.038100084366159789,4,0.75723389735492175,0.018886659876389468,2.2552996670921059,0.08320000000000001,1.9099462868053809,0.0083147850310237876,0.001209163042552737,0,0,0,0.012026637102698327,0,0.0039191835884530854,0,0,0,0.0012800000000000001,0,0,0.0032000000000000002,0,0.06237948380677738,0,0.0064836820479794652,0,0.0062987185998423173,0,0,7.5584993741541497,0.030135760460117372,0.0010844386156491806,0.0012044407481562745,0.0019150228575480284,0.00010838421237730237,0,0.0083378662361311452,0.012564329984450244,0.015244535413237613,0.0081584312217484571,0.16021785001264918
imbalance=8x,imbalance=8x,0.072042532237309484,0.018075733507690789,0,0,0,0.010714285714285714,0,0.0035714285714285713,0,1,0,0.0010714285714285715,0,0,0.0017857142857142857,0.017857142857142856,0.98392857142857149,0.017857142857142856,0.048056460110643323,0.046666666666666662,0.20111607142857141,1,56,15.351510592133412,0.092584474022473426,0.00080952380952380946,0.081069284985063564,0.042518244910734505,0.040775130667072446,8.3333333333333339,0.75261013534605625,0.023654714248790159,2.7351761069364633,0.09285714285714286,1.9439503602757768,0.01338954330374754,0.0015460606715066189,0,0,0,0.013422586052118669,0,0.0043740888263985329,0,0,0,0.0014285714285714288,0,0,0.0035714285714285713,0,0.027893748842523755,0,0.0075306422273236605,0,0.0071352014024678801,0,0,3.0391614652800247,0.032122523061438556,0.00100582909923642,0.00052014845680226963,0.0034080398015911562,0.00015687753405332371,0,0.010389605937116856,0.025822814843633701,0.03200530221710874,0.0043740888263985303,0.20881925203869384
imbalance=16x,imbalance=16x,0.060704830147575786,0.01755122651487049,0,0,0,0,0,0.0037735849056603774,0,1,0,0.00075471698113207543,0,0,0,0.018867924528301886,0.95471698113207548,0.018867924528301886,0.039869415897236984,0.088333333333333333,0.10902456390174439,1,53,15.167605517468511,0.065693865416343797,0.00015094339622641524,0.073930026297039805,0.04212284813974624,0.042254061806474529,16.666666666666668,0.75509173747763259,3.5753891218422454e-05,3.3253962618859552,0.10377358490566038,1.904043749489152,0.007010888727122579,0.0016720461512067556,0,0,0,0,0,0.0075471698113207539,0,0,0,0.0015094339622641509,0,0,0,0,0.056729420295746819,0,0.0041741269069826099,0,0.0024197430356662623,0,0,1.9163045480177436,0.034985080096688034,0.00030188679245283048,0.00043181522793424575,0.0015534574180148188,8.4385801552415803e-05,0,0.0066033985440825307,1.2760151902941428e-06,0.030658281383287429,0.010334387877455962,0.25567902423546979
