complexity_metric,ml_metric,correlation,p_value,abs_correlation
LSC,best_accuracy,0.9868250556195133,0.001811744321741263,0.9868250556195133
IR,best_accuracy,-0.9767092433617094,0.004251930522256632,0.9767092433617094
R,best_accuracy,-0.93977283627791,0.01758165087310808,0.93977283627791
D3,best_accuracy,0.8153644882098772,0.09255447282780499,0.8153644882098772
ONB_std,best_accuracy,-0.8050722739707826,0.10023507465956512,0.8050722739707826
ONB,best_accuracy,-0.800732758291145,0.10352870871336328,0.800732758291145
LSC_std,best_accuracy,-0.7989508743454737,0.10489044476495626,0.7989508743454737
N2_std,best_accuracy,-0.7767563904947872,0.12229155484414027,0.7767563904947872
N3,best_accuracy,-0.7653854250034459,0.13151008526807312,0.7653854250034459
R_std,best_accuracy,-0.7560426379619443,0.13923121230910496,0.7560426379619443
F3_std,best_accuracy,-0.6801100307256689,0.2064482266096156,0.6801100307256689
N3_std,best_accuracy,-0.6710455048116181,0.21495740797664467,0.6710455048116181
F3,best_accuracy,0.637739661865637,0.2470186200391789,0.637739661865637
N2,best_accuracy,-0.6102506403189044,0.27436638296955373,0.6102506403189044
N1,best_accuracy,0.5793525025457086,0.3059883037826002,0.5793525025457086
N4,best_accuracy,0.5536570097038319,0.3329470186092922,0.5536570097038319
Clust,best_accuracy,-0.5360372054164875,0.3517584239123733,0.5360372054164875
F4,best_accuracy,0.5328063553412956,0.35523534840069904,0.5328063553412956
Clust_std,best_accuracy,-0.5190021141287833,0.3701843692011379,0.5190021141287833
N1_std,best_accuracy,0.506837607752773,0.3834799664415604,0.506837607752773
D3_std,best_accuracy,0.45155975935856635,0.44524139411619323,0.45155975935856635
N4_std,best_accuracy,0.4241252384002515,0.4766444067956768,0.4241252384002515
F4_std,best_accuracy,0.3575064593042032,0.5546999896267308,0.3575064593042032
D. Over.,best_accuracy,-0.34523886915151536,0.5693234792413792,0.34523886915151536
D. Over._std,best_accuracy,0.18809763999810974,0.7619264790692899,0.18809763999810974
kDN,best_accuracy,-0.18427178990929205,0.7667125250438869,0.18427178990929205
F1v_std,best_accuracy,-0.17723462920174182,0.7755249122594828,0.17723462920174182
Borderline_std,best_accuracy,-0.16957750267466648,0.7851265448992719,0.16957750267466648
F1_std,best_accuracy,-0.15363340734416425,0.8051601308718978,0.15363340734416425
Borderline,best_accuracy,-0.14329115564074923,0.8181823053815201,0.14329115564074923
F1v,best_accuracy,0.10967737099030889,0.8606349104540789,0.10967737099030889
F1,best_accuracy,-0.0994481527345087,0.8735877027834896,0.0994481527345087
CM,best_accuracy,0.04270010511029246,0.9456490634871,0.04270010511029246
CM_std,best_accuracy,0.03712109249497739,0.9527468141186279,0.03712109249497739
kDN_std,best_accuracy,0.02249873676887798,0.9713561355814084,0.02249873676887798
