complexity_metric,ml_metric,correlation,p_value,abs_correlation
CM,best_accuracy,0.9994256213190208,1.652319028815752e-05,0.9994256213190208
R,best_accuracy,-0.998087646447393,0.00010036020044124374,0.998087646447393
N4,best_accuracy,0.9963129793650858,0.0002686005367491128,0.9963129793650858
D3_std,best_accuracy,0.9917729716127274,0.000894667543570418,0.9917729716127274
kDN,best_accuracy,0.9915740179351024,0.0009272887438714366,0.9915740179351024
Borderline,best_accuracy,0.9903489834648062,0.0011364850847368226,0.9903489834648062
Clust,best_accuracy,0.9882673024088637,0.0015228771791175435,0.9882673024088637
N1,best_accuracy,0.9881748553152804,0.0015408902680289502,0.9881748553152804
N3,best_accuracy,0.9862744441400375,0.0019263385115313838,0.9862744441400375
N1_std,best_accuracy,0.9832712838491728,0.002590806575413883,0.9832712838491728
D. Over.,best_accuracy,0.9810299386430004,0.0031274998921026337,0.9810299386430004
F3,best_accuracy,0.9770551650954815,0.0041577739720200626,0.9770551650954815
F3_std,best_accuracy,-0.9734062103069427,0.005185183803503986,0.9734062103069427
ONB,best_accuracy,-0.9675315078924355,0.006988766579072796,0.9675315078924355
D3,best_accuracy,0.966753467409464,0.007240618310297558,0.966753467409464
LSC,best_accuracy,0.9638363411066005,0.00821055352282162,0.9638363411066005
F4,best_accuracy,0.963049307000563,0.00847902425353832,0.963049307000563
N2,best_accuracy,0.9535378190001863,0.011938043280964131,0.9535378190001863
CM_std,best_accuracy,0.9498556883132148,0.013377425167810682,0.9498556883132148
F1v,best_accuracy,-0.9484801005284127,0.013928725958777319,0.9484801005284127
F1v_std,best_accuracy,-0.9443835846480453,0.015612833323362895,0.9443835846480453
IR,best_accuracy,-0.9362288957225955,0.019145700746454226,0.9362288957225955
F4_std,best_accuracy,-0.9291640132903585,0.022389563299943734,0.9291640132903585
N3_std,best_accuracy,0.9275500180053978,0.023153382315005865,0.9275500180053978
F1,best_accuracy,-0.8689375508958025,0.05582434863903035,0.8689375508958025
LSC_std,best_accuracy,-0.8374576188865575,0.07671868270748196,0.8374576188865575
F2,best_accuracy,0.7867227916526237,0.11437846323489233,0.7867227916526237
Clust_std,best_accuracy,0.7377137232681514,0.15474835914808266,0.7377137232681514
F2_std,best_accuracy,-0.6366691896413422,0.24806905195370776,0.6366691896413422
F1_std,best_accuracy,-0.6349157705798152,0.249792246229662,0.6349157705798152
N4_std,best_accuracy,0.5806811574562314,0.304610240875305,0.5806811574562314
kDN_std,best_accuracy,0.5314929592666888,0.35665117426580367,0.5314929592666888
ONB_std,best_accuracy,-0.4817380425228136,0.41125951512504616,0.4817380425228136
D. Over._std,best_accuracy,-0.3779884112706108,0.5304495528805078,0.3779884112706108
N2_std,best_accuracy,-0.18806650239622333,0.7619654171523456,0.18806650239622333
R_std,best_accuracy,0.1069241050734129,0.8641198572452976,0.1069241050734129
Borderline_std,best_accuracy,0.02050867816876123,0.9738893705698334,0.02050867816876123
